ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300811.SZ,20200313,73.0,75.62,72.01,74.6,77.32,-2.719999999999999,-3.5178,11903.13,87880.062
300811.SZ,20200312,77.49,79.2,77.0,77.32,79.44,-2.1200000000000045,-2.6687,9518.31,74117.277
300811.SZ,20200311,78.0,80.78,76.91,79.44,77.74,1.7000000000000028,2.1868,15979.44,125978.593
300811.SZ,20200310,74.04,77.77,73.9,77.74,75.61,2.1299999999999955,2.8171,12305.34,93230.527
300811.SZ,20200309,77.4,78.69,75.53,75.61,79.9,-4.290000000000006,-5.3692,13744.2,105834.992
300811.SZ,20200306,79.5,80.99,79.01,79.9,80.4,-0.5,-0.6219,10486.06,84053.871
300811.SZ,20200305,82.5,82.88,79.31,80.4,81.2,-0.7999999999999972,-0.9852,14681.62,118189.405
300811.SZ,20200304,77.8,81.68,77.21,81.2,78.7,2.5,3.1766,15634.56,124518.089
300811.SZ,20200303,79.49,81.24,78.03,78.7,78.38,0.3200000000000074,0.4083,15486.36,123562.025
300811.SZ,20200302,76.0,79.44,76.0,78.38,75.91,2.469999999999999,3.2539,14841.67,115331.655
300811.SZ,20200228,79.9,81.4,75.91,75.91,84.34,-8.430000000000007,-9.9953,28578.3,222984.118
300811.SZ,20200227,89.92,90.8,83.8,84.34,88.24,-3.8999999999999915,-4.4198,24434.83,212373.214
300811.SZ,20200226,86.35,94.49,85.9,88.24,87.22,1.019999999999996,1.1695,36286.73,326363.775
300811.SZ,20200225,81.5,87.22,81.0,87.22,84.1,3.1200000000000045,3.7099,30713.84,259541.578
300811.SZ,20200224,83.0,85.3,81.81,84.1,83.6,0.5,0.5981,19535.0,163807.987
300811.SZ,20200221,83.5,85.39,83.22,83.6,84.55,-0.9500000000000028,-1.1236,18719.58,157578.995
300811.SZ,20200220,84.4,85.85,82.68,84.55,84.32,0.23000000000000398,0.2728,18933.82,159787.393
300811.SZ,20200219,87.13,87.92,84.2,84.32,88.68,-4.360000000000014,-4.9166,29405.16,253603.631
300811.SZ,20200218,83.98,89.78,83.26,88.68,83.89,4.790000000000006,5.7099,35683.45,309034.168
300811.SZ,20200217,81.3,84.21,81.28,83.89,81.86,2.030000000000001,2.4798,22050.28,183684.894
300811.SZ,20200214,83.0,85.6,81.11,81.86,83.98,-2.1200000000000045,-2.5244,24072.23,201209.437
300811.SZ,20200213,84.9,84.9,82.52,83.98,85.43,-1.4500000000000028,-1.6973,22781.78,190762.929
300811.SZ,20200212,79.66,85.98,78.86,85.43,81.98,3.450000000000003,4.2083,28369.69,237384.745
300811.SZ,20200211,80.01,85.95,79.5,81.98,80.31,1.6700000000000017,2.0794,25813.27,215829.37
300811.SZ,20200210,80.5,80.72,78.13,80.31,80.68,-0.37000000000000455,-0.4586,22560.28,179328.165
300811.SZ,20200207,73.18,81.3,73.1,80.68,73.91,6.77000000000001,9.1598,35816.93,283180.705
300811.SZ,20200206,71.4,73.91,70.2,73.91,72.3,1.6099999999999994,2.2268,21826.63,158123.711
300811.SZ,20200205,70.99,75.17,70.99,72.3,71.96,0.3400000000000034,0.4725,25899.49,190154.873
300811.SZ,20200204,65.37,73.58,65.37,71.96,72.63,-0.6700000000000017,-0.9225,32683.14,226545.711
300811.SZ,20200203,72.63,72.63,72.63,72.63,80.7,-8.070000000000007,-10.0,2725.0,19791.675
300811.SZ,20200123,85.02,87.01,80.06,80.7,85.82,-5.11999999999999,-5.966,28588.65,238657.199
300811.SZ,20200122,84.03,86.99,83.15,85.82,86.01,-0.19000000000001194,-0.2209,27312.52,232617.946
300811.SZ,20200121,89.01,92.3,86.01,86.01,90.61,-4.599999999999994,-5.0767,40884.04,364214.479
300811.SZ,20200120,90.16,92.09,88.31,90.61,92.27,-1.6599999999999966,-1.7991,39618.93,356809.662
300811.SZ,20200117,97.71,99.46,92.25,92.27,102.5,-10.230000000000004,-9.9805,69374.28,656911.854
300811.SZ,20200116,106.0,107.87,100.0,102.5,107.76,-5.260000000000005,-4.8812,85489.94,886405.326
300811.SZ,20200115,107.76,107.76,107.76,107.76,97.96,9.800000000000011,10.0041,42847.06,461719.918
300811.SZ,20200114,97.96,97.96,97.96,97.96,89.05,8.909999999999997,10.0056,1672.55,16384.299
300811.SZ,20200113,89.05,89.05,89.05,89.05,80.95,8.099999999999994,10.0062,2724.62,24262.741
300811.SZ,20200110,80.95,80.95,80.95,80.95,73.59,7.359999999999999,10.0014,1376.62,11143.738
300811.SZ,20200109,73.59,73.59,73.59,73.59,66.9,6.689999999999998,10.0,1104.45,8127.647
300811.SZ,20200108,66.9,66.9,66.9,66.9,60.82,6.080000000000005,9.9967,460.83,3082.952
300811.SZ,20200107,60.82,60.82,60.82,60.82,55.29,5.530000000000001,10.0018,450.0,2736.9
300811.SZ,20200106,55.29,55.29,55.29,55.29,50.26,5.030000000000001,10.008,780.27,4314.112
300811.SZ,20200103,50.26,50.26,50.26,50.26,45.69,4.57,10.0022,343.27,1725.275
300811.SZ,20200102,45.69,45.69,45.69,45.69,41.54,4.149999999999999,9.9904,154.42,705.544
300811.SZ,20191231,41.54,41.54,41.54,41.54,37.76,3.780000000000001,10.0106,117.0,486.018
300811.SZ,20191230,31.46,37.76,31.46,37.76,26.22,11.54,44.0122,579.1,2173.78
