ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600803.SH,20200227,10.2,10.34,10.03,10.07,10.13,-0.0600000000000005,-0.5923,132094.9,134182.572
600803.SH,20200226,10.02,10.34,9.87,10.13,10.08,0.05000000000000071,0.496,212855.83,215994.868
600803.SH,20200225,10.14,10.14,9.8,10.08,10.37,-0.28999999999999915,-2.7965,155627.38,155761.397
600803.SH,20200224,10.52,10.52,10.21,10.37,10.47,-0.10000000000000142,-0.9551,135937.55,140556.017
600803.SH,20200221,10.61,10.61,10.43,10.47,10.59,-0.11999999999999922,-1.1331,111372.96,116871.118
600803.SH,20200220,10.54,10.72,10.39,10.59,10.54,0.05000000000000071,0.4744,125836.34,132607.07
600803.SH,20200219,10.53,10.59,10.41,10.54,10.52,0.019999999999999574,0.1901,77733.2,81713.546
600803.SH,20200218,10.48,10.6,10.36,10.52,10.34,0.17999999999999972,1.7408,146956.46,154138.861
600803.SH,20200217,9.95,10.35,9.94,10.34,9.94,0.40000000000000036,4.0241,127091.97,130628.626
600803.SH,20200214,9.97,9.97,9.83,9.94,9.92,0.019999999999999574,0.2016,58659.46,58110.449
600803.SH,20200213,9.98,10.1,9.91,9.92,9.97,-0.05000000000000071,-0.5015,56449.36,56295.984
600803.SH,20200212,9.94,10.02,9.88,9.97,9.94,0.030000000000001137,0.3018,53400.88,53188.146
600803.SH,20200211,10.12,10.12,9.91,9.94,10.0,-0.0600000000000005,-0.6,52368.75,52303.656
600803.SH,20200210,9.8,10.05,9.78,10.0,9.78,0.22000000000000064,2.2495,79857.13,79279.992
600803.SH,20200207,9.7,9.82,9.62,9.78,9.7,0.08000000000000007,0.8247,73897.23,71945.077
600803.SH,20200206,9.43,9.85,9.36,9.7,9.43,0.2699999999999996,2.8632,109664.58,105478.406
600803.SH,20200205,9.22,9.59,9.22,9.43,9.27,0.16000000000000014,1.726,109000.52,102903.645
600803.SH,20200204,8.88,9.33,8.88,9.27,9.31,-0.040000000000000924,-0.4296,189290.25,172978.745
600803.SH,20200203,9.31,9.35,9.31,9.31,10.34,-1.0299999999999994,-9.9613,48221.0,44900.149
600803.SH,20200123,10.69,10.71,10.25,10.34,10.75,-0.41000000000000014,-3.814,95726.36,100030.299
600803.SH,20200122,10.74,10.76,10.55,10.75,10.69,0.0600000000000005,0.5613,70208.01,74829.763
600803.SH,20200121,10.84,10.88,10.67,10.69,10.86,-0.16999999999999993,-1.5654,70402.52,75640.709
600803.SH,20200120,10.91,10.93,10.78,10.86,10.85,0.009999999999999787,0.0922,57480.36,62415.33
600803.SH,20200117,10.84,10.95,10.82,10.85,10.92,-0.07000000000000028,-0.641,63513.29,69035.173
600803.SH,20200116,11.0,11.03,10.89,10.92,10.9,0.019999999999999574,0.1835,45359.25,49604.747
600803.SH,20200115,11.05,11.06,10.86,10.9,11.04,-0.1399999999999988,-1.2681,57040.75,62309.388
600803.SH,20200114,11.18,11.19,11.02,11.04,11.11,-0.07000000000000028,-0.6301,72169.45,80004.749
600803.SH,20200113,10.96,11.14,10.85,11.11,10.96,0.14999999999999858,1.3686,95125.13,104526.691
600803.SH,20200110,11.05,11.1,10.88,10.96,11.02,-0.05999999999999872,-0.5445,54359.96,59595.653
600803.SH,20200109,10.95,11.05,10.9,11.02,10.86,0.16000000000000014,1.4733,81885.69,89956.279
600803.SH,20200108,11.18,11.23,10.83,10.86,11.13,-0.27000000000000135,-2.4259,109472.4,120285.192
600803.SH,20200107,11.02,11.19,11.0,11.13,11.09,0.040000000000000924,0.3607,96066.41,106885.742
600803.SH,20200106,10.94,11.2,10.88,11.09,10.89,0.1999999999999993,1.8365,170810.52,189180.972
600803.SH,20200103,10.92,10.93,10.79,10.89,10.87,0.02000000000000135,0.184,95551.42,103903.73
600803.SH,20200102,10.7,10.91,10.68,10.87,10.64,0.22999999999999865,2.1617,124864.67,134798.239
600803.SH,20191231,10.72,10.73,10.55,10.64,10.63,0.009999999999999787,0.0941,88012.6,93406.753
600803.SH,20191230,10.26,10.67,10.17,10.63,10.42,0.21000000000000085,2.0154,139042.9,146368.284
600803.SH,20191227,10.61,10.65,10.4,10.42,10.6,-0.17999999999999972,-1.6981,76021.41,79954.667
600803.SH,20191226,10.63,10.67,10.54,10.6,10.59,0.009999999999999787,0.0944,41978.87,44434.09
600803.SH,20191225,10.59,10.64,10.53,10.59,10.54,0.05000000000000071,0.4744,52651.71,55723.621
600803.SH,20191224,10.4,10.54,10.4,10.54,10.44,0.09999999999999964,0.9579,47641.91,50044.868
600803.SH,20191223,10.56,10.65,10.43,10.44,10.56,-0.120000000000001,-1.1364,60460.02,63700.885
600803.SH,20191220,10.69,10.69,10.52,10.56,10.6,-0.03999999999999915,-0.3774,65914.95,69804.347
600803.SH,20191219,10.48,10.62,10.46,10.6,10.48,0.11999999999999922,1.145,58649.26,61988.433
600803.SH,20191218,10.58,10.63,10.47,10.48,10.58,-0.09999999999999964,-0.9452,100348.28,105738.893
600803.SH,20191217,10.48,10.68,10.48,10.58,10.45,0.13000000000000078,1.244,120652.93,127687.643
600803.SH,20191216,10.39,10.47,10.3,10.45,10.36,0.08999999999999986,0.8687,100558.46,104441.548
600803.SH,20191213,10.24,10.37,10.2,10.36,10.19,0.16999999999999993,1.6683,84313.81,86812.475
600803.SH,20191212,10.29,10.3,10.15,10.19,10.29,-0.09999999999999964,-0.9718,63531.57,64816.282
600803.SH,20191211,10.15,10.32,10.08,10.29,10.07,0.21999999999999886,2.1847,114277.75,116925.585
600803.SH,20191210,10.09,10.15,10.01,10.07,10.14,-0.07000000000000028,-0.6903,61971.55,62361.391
600803.SH,20191209,10.08,10.18,10.07,10.14,10.12,0.02000000000000135,0.1976,36849.5,37304.728
600803.SH,20191206,10.14,10.2,10.09,10.12,10.18,-0.0600000000000005,-0.5894,38922.86,39372.229
600803.SH,20191205,10.23,10.28,10.13,10.18,10.17,0.009999999999999787,0.0983,45883.25,46678.819
600803.SH,20191204,10.02,10.3,9.96,10.17,10.0,0.16999999999999993,1.7,66354.0,67473.906
600803.SH,20191203,10.06,10.08,9.92,10.0,10.09,-0.08999999999999986,-0.892,43930.53,43820.55
600803.SH,20191202,10.14,10.17,10.07,10.09,10.15,-0.0600000000000005,-0.5911,37398.5,37769.931
600803.SH,20191129,10.14,10.2,10.08,10.15,10.17,-0.019999999999999574,-0.1967,36683.96,37131.348
600803.SH,20191128,10.23,10.27,10.14,10.17,10.23,-0.0600000000000005,-0.5865,40401.78,41182.206
600803.SH,20191127,10.11,10.32,10.11,10.23,10.18,0.05000000000000071,0.4912,60082.58,61434.324
600803.SH,20191126,10.29,10.32,10.1,10.18,10.34,-0.16000000000000014,-1.5474,86638.52,88281.687
600803.SH,20191125,10.11,10.43,10.09,10.34,10.04,0.3000000000000007,2.988,157722.01,162669.468
600803.SH,20191122,10.14,10.41,10.0,10.04,9.83,0.20999999999999908,2.1363,177150.73,180798.58
600803.SH,20191121,9.81,9.85,9.73,9.83,9.85,-0.019999999999999574,-0.203,30662.47,30008.907
600803.SH,20191120,10.0,10.02,9.83,9.85,10.02,-0.16999999999999993,-1.6966,55666.87,55067.592
600803.SH,20191119,9.95,10.03,9.94,10.02,9.94,0.08000000000000007,0.8048,43882.43,43885.142
600803.SH,20191118,9.83,9.98,9.83,9.94,9.81,0.129999999999999,1.3252,35891.37,35604.944
600803.SH,20191115,10.0,10.06,9.8,9.81,10.02,-0.20999999999999908,-2.0958,67726.14,67025.168
600803.SH,20191114,10.13,10.17,9.98,10.02,10.13,-0.11000000000000121,-1.0859,76411.25,76660.51
600803.SH,20191113,10.12,10.24,10.02,10.13,10.08,0.05000000000000071,0.496,60030.9,60792.899
600803.SH,20191112,9.93,10.13,9.93,10.08,9.95,0.13000000000000078,1.3065,56404.89,56620.984
600803.SH,20191111,10.22,10.24,9.95,9.95,10.28,-0.33000000000000007,-3.2101,103827.41,104281.679
600803.SH,20191108,10.4,10.46,10.26,10.28,10.36,-0.08000000000000007,-0.7722,66842.09,69255.127
600803.SH,20191107,10.4,10.48,10.32,10.36,10.46,-0.10000000000000142,-0.956,74799.91,77647.852
600803.SH,20191106,10.5,10.62,10.41,10.46,10.5,-0.03999999999999915,-0.381,68671.56,72131.336
600803.SH,20191105,10.7,10.7,10.43,10.5,10.63,-0.13000000000000078,-1.223,109046.42,114934.083
600803.SH,20191104,10.4,10.68,10.38,10.63,10.36,0.27000000000000135,2.6062,162868.41,172018.452
600803.SH,20191101,10.33,10.46,10.2,10.36,10.31,0.049999999999998934,0.485,94473.62,97534.367
600803.SH,20191031,10.24,10.45,10.09,10.31,10.21,0.09999999999999964,0.9794,113286.96,116281.034
600803.SH,20191030,10.6,10.65,10.13,10.21,10.61,-0.3999999999999986,-3.77,165668.67,171016.807
600803.SH,20191029,10.8,10.86,10.61,10.61,10.83,-0.22000000000000064,-2.0314,96184.27,103206.373
600803.SH,20191028,10.81,10.9,10.65,10.83,11.08,-0.25,-2.2563,165201.38,178092.94
600803.SH,20191025,11.09,11.09,10.82,11.08,11.1,-0.019999999999999574,-0.1802,107214.42,117509.322
600803.SH,20191024,10.95,11.16,10.93,11.1,10.91,0.1899999999999995,1.7415,140788.27,155885.514
600803.SH,20191023,11.07,11.07,10.85,10.91,11.09,-0.17999999999999972,-1.6231,70297.11,76885.13
600803.SH,20191022,10.83,11.11,10.77,11.09,10.76,0.33000000000000007,3.0669,131823.44,144147.345
600803.SH,20191021,10.88,10.92,10.59,10.76,10.98,-0.22000000000000064,-2.0036,106985.72,115433.383
600803.SH,20191018,11.25,11.34,10.78,10.98,11.19,-0.20999999999999908,-1.8767,141908.71,156509.438
600803.SH,20191017,11.27,11.55,11.15,11.19,11.23,-0.040000000000000924,-0.3562,175366.22,198489.336
600803.SH,20191016,11.37,11.45,11.13,11.23,11.16,0.07000000000000028,0.6272,151382.97,170408.548
600803.SH,20191015,11.07,11.45,11.0,11.16,11.23,-0.07000000000000028,-0.6233,221582.94,249933.273
600803.SH,20191014,10.62,11.3,10.59,11.23,10.57,0.6600000000000001,6.2441,254193.71,278466.057
600803.SH,20191011,10.56,10.64,10.42,10.57,10.59,-0.019999999999999574,-0.1889,92903.85,97852.181
600803.SH,20191010,10.5,10.75,10.4,10.59,10.59,0.0,0.0,110333.0,116400.365
600803.SH,20191009,10.33,10.64,10.22,10.59,10.41,0.17999999999999972,1.7291,94996.41,99068.243
600803.SH,20191008,10.57,10.61,10.35,10.41,10.47,-0.0600000000000005,-0.5731,70049.99,73118.486
600803.SH,20190930,10.54,10.64,10.41,10.47,10.48,-0.009999999999999787,-0.0954,82224.84,86519.963
600803.SH,20190927,10.42,10.58,10.36,10.48,10.34,0.14000000000000057,1.354,104614.22,109838.014
600803.SH,20190926,10.61,10.75,10.3,10.34,10.6,-0.2599999999999998,-2.4528,170636.27,179207.132
600803.SH,20190925,10.76,10.76,10.39,10.6,10.81,-0.21000000000000085,-1.9426,173835.12,184162.664
600803.SH,20190924,11.1,11.15,10.79,10.81,11.14,-0.33000000000000007,-2.9623,216768.77,237229.716
600803.SH,20190923,11.02,11.24,10.84,11.14,11.1,0.040000000000000924,0.3604,181128.04,201132.147
600803.SH,20190920,11.11,11.28,11.02,11.1,11.12,-0.019999999999999574,-0.1799,185955.9,207286.726
600803.SH,20190919,10.89,11.2,10.85,11.12,11.05,0.06999999999999851,0.6335,208652.17,230090.061
600803.SH,20190918,11.22,11.29,11.02,11.05,11.65,-0.5999999999999996,-5.1502,403644.31,449295.936
600803.SH,20190917,11.51,11.88,11.22,11.65,11.51,0.14000000000000057,1.2163,627851.64,727715.838
600803.SH,20190916,12.49,12.49,11.5,11.51,11.35,0.16000000000000014,1.4097,1019297.02,1237205.74
600803.SH,20190912,11.09,11.35,10.72,11.35,10.32,1.0299999999999994,9.9806,688356.17,771582.772
600803.SH,20190911,10.32,10.32,10.32,10.32,9.38,0.9399999999999995,10.0213,48855.62,50419.0
600803.SH,20190830,9.38,9.42,9.22,9.38,9.34,0.040000000000000924,0.4283,77263.46,72088.076
600803.SH,20190829,9.45,9.48,9.28,9.34,9.4,-0.0600000000000005,-0.6383,94211.8,87916.058
600803.SH,20190828,9.28,9.55,9.24,9.4,9.07,0.33000000000000007,3.6384,158591.47,149538.289
600803.SH,20190827,8.9,9.07,8.87,9.07,8.83,0.2400000000000002,2.718,52604.73,47427.846
600803.SH,20190826,8.78,8.87,8.71,8.83,8.97,-0.14000000000000057,-1.5608,40153.66,35335.49
600803.SH,20190823,8.99,9.01,8.9,8.97,8.97,0.0,0.0,36596.75,32764.197
600803.SH,20190822,9.07,9.09,8.93,8.97,9.02,-0.049999999999998934,-0.5543,40101.08,35975.383
600803.SH,20190821,9.02,9.14,9.0,9.02,9.03,-0.009999999999999787,-0.1107,35353.99,32031.982
600803.SH,20190820,9.08,9.17,9.01,9.03,9.08,-0.05000000000000071,-0.5507,46784.0,42524.944
600803.SH,20190819,8.8,9.12,8.79,9.08,8.77,0.3100000000000005,3.5348,77109.42,69332.313
600803.SH,20190816,8.68,8.8,8.64,8.77,8.7,0.07000000000000028,0.8046,42492.16,37121.151
600803.SH,20190815,8.6,8.72,8.53,8.7,8.78,-0.08000000000000007,-0.9112,66526.93,57162.473
600803.SH,20190814,8.91,8.94,8.74,8.78,8.78,0.0,0.0,54493.76,48227.521
600803.SH,20190813,8.78,8.82,8.74,8.78,8.87,-0.08999999999999986,-1.0147,37458.96,32857.907
600803.SH,20190812,8.77,8.87,8.73,8.87,8.77,0.09999999999999964,1.1403,36773.71,32341.383
600803.SH,20190809,8.99,9.04,8.7,8.77,8.98,-0.21000000000000085,-2.3385,47463.19,42143.826
600803.SH,20190808,8.96,9.03,8.92,8.98,8.93,0.05000000000000071,0.5599,49304.74,44225.914
600803.SH,20190807,9.17,9.2,8.93,8.93,9.1,-0.16999999999999993,-1.8681,65870.8,59433.618
600803.SH,20190806,9.59,9.59,8.9,9.1,9.66,-0.5600000000000005,-5.7971,128166.73,117241.283
600803.SH,20190805,9.7874,9.7972,9.6406,9.6602,9.807,-0.1468000000000007,-1.4969,65332.16,64707.532
600803.SH,20190802,9.807,9.8755,9.758,9.807,9.9342,-0.1272000000000002,-1.2804,62692.62,62855.727
600803.SH,20190801,9.807,9.9636,9.807,9.9342,9.8657,0.06850000000000023,0.6943,53933.27,54514.37
600803.SH,20190731,9.8559,9.8951,9.8363,9.8657,9.8266,0.039100000000001245,0.3979,35701.53,35993.764
600803.SH,20190730,9.807,9.9049,9.807,9.8266,9.807,0.01959999999999873,0.1999,41978.98,42228.751
600803.SH,20190729,9.8559,9.8559,9.7972,9.807,9.8461,-0.03909999999999947,-0.3971,36774.71,36870.87
600803.SH,20190726,9.8853,9.8951,9.7874,9.8461,9.8755,-0.02940000000000076,-0.2977,61118.25,61379.754
600803.SH,20190725,9.9146,9.9636,9.8755,9.8755,9.944,-0.06850000000000023,-0.6889,45777.04,46338.842
600803.SH,20190724,9.8951,9.9929,9.8853,9.944,9.8951,0.0489000000000015,0.4942,52695.23,53492.7
600803.SH,20190723,9.8461,9.9244,9.8461,9.8951,9.8755,0.01959999999999873,0.1985,32550.89,32851.061
600803.SH,20190722,10.0908,10.1202,9.8559,9.8755,9.9538,-0.0782999999999987,-0.7866,71985.35,73080.816
600803.SH,20190719,9.9734,10.0419,9.9342,9.9538,9.9342,0.01959999999999873,0.1973,35641.0,36352.332
600803.SH,20190718,10.0125,10.0321,9.8853,9.9342,10.0615,-0.12729999999999997,-1.2652,38752.56,39413.859
600803.SH,20190717,9.9832,10.081,9.9342,10.0615,9.9929,0.0686,0.6865,53910.86,55251.295
600803.SH,20190716,9.9538,10.0125,9.9342,9.9929,9.9636,0.029300000000000992,0.2941,52658.52,53713.059
600803.SH,20190715,9.9146,10.0125,9.8266,9.9636,9.9636,0.0,0.0,53055.74,53739.72
600803.SH,20190712,9.9146,10.0027,9.8853,9.9636,9.9146,0.04899999999999949,0.4942,36209.25,36833.165
600803.SH,20190711,9.9538,10.0321,9.8755,9.9146,9.9146,0.0,0.0,40024.5,40700.681
600803.SH,20190710,9.9636,10.0027,9.9049,9.9146,9.9342,-0.019600000000000506,-0.1973,34402.87,34980.142
600803.SH,20190709,9.8657,9.9832,9.8657,9.9342,9.9636,-0.029399999999998983,-0.2951,47265.74,47944.624
600803.SH,20190708,10.2866,10.2866,9.8755,9.9636,10.3061,-0.34250000000000114,-3.3233,95917.39,98344.881
600803.SH,20190705,10.2572,10.3061,10.2083,10.3061,10.2376,0.06850000000000023,0.6691,40512.44,42501.944
600803.SH,20190704,10.2866,10.3355,10.1985,10.2376,10.2572,-0.01959999999999873,-0.1911,54532.56,57209.242
600803.SH,20190703,10.3649,10.3844,10.1887,10.2572,10.404,-0.1468000000000007,-1.411,68396.35,71624.664
600803.SH,20190702,10.3453,10.4334,10.3257,10.404,10.3844,0.019600000000000506,0.1887,65793.68,69863.123
600803.SH,20190701,10.4529,10.4823,10.3453,10.3844,10.2278,0.15659999999999918,1.5311,105728.41,112290.338
600803.SH,20190628,10.2572,10.3257,10.1985,10.2278,10.3061,-0.07830000000000048,-0.7597,48956.3,51274.631
600803.SH,20190627,10.267,10.3355,10.2376,10.3061,10.1985,0.10760000000000147,1.0551,87375.78,91900.245
600803.SH,20190626,10.1495,10.2964,10.1104,10.1985,10.1593,0.039199999999999235,0.3859,67337.23,70363.406
600803.SH,20190625,10.3257,10.3355,10.1006,10.1593,10.3453,-0.18599999999999994,-1.7979,72629.41,75578.76
600803.SH,20190624,10.267,10.3551,10.1985,10.3453,10.3159,0.02940000000000076,0.285,69773.01,73370.254
600803.SH,20190621,10.3257,10.3942,10.2572,10.3159,10.2278,0.08809999999999896,0.8614,94763.48,99818.647
600803.SH,20190620,10.0615,10.2572,10.0125,10.2278,10.0712,0.15660000000000096,1.5549,87609.45,90985.344
600803.SH,20190619,10.1691,10.2278,10.0615,10.0712,9.9636,0.1075999999999997,1.0799,79089.12,81861.641
600803.SH,20190618,9.9832,10.0027,9.8951,9.9636,9.9636,0.0,0.0,27657.75,28127.023
600803.SH,20190617,9.9538,10.0321,9.8951,9.9636,9.9244,0.039199999999999235,0.395,33985.6,34576.937
600803.SH,20190614,10.1006,10.1593,9.8951,9.9244,10.1104,-0.18599999999999994,-1.8397,64019.31,65740.515
600803.SH,20190613,9.9832,10.13,9.8755,10.1104,10.0125,0.09790000000000099,0.9778,81369.56,83259.796
600803.SH,20190612,10.1593,10.1593,9.9734,10.0125,10.1887,-0.17620000000000147,-1.7294,82363.06,84687.109
600803.SH,20190611,9.8951,10.2083,9.8853,10.1887,9.9049,0.28380000000000116,2.8652,99618.53,102688.936
600803.SH,20190610,9.8951,9.9636,9.8266,9.9049,9.8168,0.08809999999999896,0.8974,54271.81,54817.473
600803.SH,20190606,9.9832,10.0125,9.7776,9.8168,9.9832,-0.16639999999999944,-1.6668,70452.18,70811.603
600803.SH,20190605,10.0615,10.1593,9.9734,9.9832,10.0027,-0.01950000000000074,-0.1949,57702.46,59252.247
600803.SH,20190604,9.9832,10.0517,9.944,10.0027,10.0321,-0.029399999999998983,-0.2931,55343.92,56514.319
600803.SH,20190603,10.2964,10.2964,9.9832,10.0321,10.2768,-0.24469999999999992,-2.3811,80682.49,83285.613
600803.SH,20190531,10.1691,10.3942,10.1495,10.2768,10.13,0.14679999999999893,1.4492,124784.95,131330.908
600803.SH,20190530,9.9929,10.1691,9.9636,10.13,10.0712,0.05880000000000152,0.5838,72015.55,74024.955
600803.SH,20190529,9.9636,10.1398,9.9538,10.0712,9.9832,0.08799999999999919,0.8815,70829.2,72866.544
600803.SH,20190528,10.0321,10.13,9.944,9.9832,10.0321,-0.04889999999999972,-0.4874,70581.75,72452.938
600803.SH,20190527,9.8266,10.0517,9.7874,10.0321,9.8168,0.21529999999999916,2.1932,80862.69,82061.078
600803.SH,20190524,9.9832,10.0517,9.6895,9.8168,10.0321,-0.21529999999999916,-2.1461,122110.51,122963.952
600803.SH,20190523,10.1789,10.1887,10.0027,10.0321,10.2474,-0.21530000000000094,-2.101,87935.04,90598.168
600803.SH,20190522,10.3942,10.3942,10.1887,10.2474,10.3942,-0.14679999999999893,-1.4123,56113.25,59002.837
600803.SH,20190521,10.2083,10.404,10.1887,10.3942,10.1985,0.19570000000000043,1.9189,76029.42,80154.134
600803.SH,20190520,10.1495,10.2572,9.9929,10.1985,10.1398,0.058699999999999974,0.5789,63674.77,65875.853
600803.SH,20190517,10.4725,10.5019,10.0908,10.1398,10.4627,-0.32290000000000063,-3.0862,110667.87,116069.751
600803.SH,20190516,10.4138,10.4921,10.3649,10.4627,10.4432,0.01950000000000074,0.1867,94154.01,100421.071
600803.SH,20190515,10.3355,10.4529,10.3061,10.4432,10.2572,0.18599999999999994,1.8134,97166.31,103207.858
600803.SH,20190514,10.2474,10.3649,10.1887,10.2572,10.3746,-0.11739999999999995,-1.1316,82664.21,86692.896
600803.SH,20190513,10.2181,10.5117,10.2083,10.3746,10.4138,-0.03920000000000101,-0.3764,84225.78,89358.01
600803.SH,20190510,10.2083,10.4529,10.0321,10.4138,10.0908,0.3230000000000004,3.2009,145352.08,152610.658
600803.SH,20190509,10.1887,10.3355,10.0908,10.0908,10.3257,-0.23489999999999966,-2.2749,123813.4,128736.384
600803.SH,20190508,10.2376,10.4921,10.1398,10.3257,10.5019,-0.1761999999999997,-1.6778,124545.58,131005.384
600803.SH,20190507,10.5508,10.6976,10.3551,10.5019,10.3844,0.11749999999999972,1.1315,116169.4,124922.908
600803.SH,20190506,10.7661,10.913,10.3844,10.3844,11.2653,-0.8809000000000005,-7.8196,229008.88,249956.2
600803.SH,20190430,11.0304,11.3338,11.0304,11.2653,11.0696,0.19570000000000043,1.7679,134868.33,154049.164
600803.SH,20190429,11.5785,11.5883,11.0304,11.0696,11.6764,-0.6067999999999998,-5.1968,245913.28,282185.514
600803.SH,20190426,11.6177,11.8134,11.4806,11.6764,11.7351,-0.058699999999999974,-0.5002,184309.85,219290.715
600803.SH,20190425,12.1853,12.2245,11.6959,11.7351,12.2343,-0.4992000000000001,-4.0803,293291.19,358535.453
600803.SH,20190424,11.8232,12.2343,11.7351,12.2343,11.784,0.4502999999999986,3.8213,350709.33,432092.381
600803.SH,20190423,12.1853,12.2538,11.6959,11.784,12.1168,-0.3327999999999989,-2.7466,234742.41,285883.74
600803.SH,20190422,12.107,12.3615,11.8623,12.1168,11.9504,0.16639999999999944,1.3924,328965.88,407459.122
600803.SH,20190419,11.9896,12.0189,11.6274,11.9504,11.9308,0.019600000000000506,0.1643,229518.2,276979.492
600803.SH,20190418,12.1853,12.3713,11.8917,11.9308,12.1266,-0.1958000000000002,-1.6146,246989.87,305669.024
600803.SH,20190417,11.8917,12.2538,11.8623,12.1266,11.8917,0.23489999999999966,1.9753,301743.97,372909.263
600803.SH,20190416,11.5002,11.8917,11.4513,11.8917,11.5687,0.3230000000000004,2.792,168098.54,201007.079
600803.SH,20190415,11.9504,11.9798,11.5687,11.5687,11.7351,-0.16639999999999944,-1.418,184479.89,222621.802
600803.SH,20190412,11.8232,11.8232,11.5687,11.7351,11.833,-0.09790000000000099,-0.8273,189931.69,226823.163
600803.SH,20190411,12.1657,12.1755,11.8036,11.833,12.1462,-0.31320000000000014,-2.5786,199143.58,243296.009
600803.SH,20190410,12.1951,12.3028,11.9504,12.1462,12.293,-0.14679999999999893,-1.1942,276090.12,342162.897
600803.SH,20190409,12.6551,12.6551,12.2049,12.293,12.7921,-0.4991000000000003,-3.9016,401709.65,507235.168
600803.SH,20190408,12.6355,13.027,12.4985,12.7921,12.2734,0.518699999999999,4.2262,684788.06,890360.855
600803.SH,20190404,12.1755,12.4985,12.1364,12.2734,12.1364,0.13700000000000045,1.1288,388822.38,488368.355
600803.SH,20190403,12.0874,12.2147,11.9896,12.1364,12.1657,-0.029299999999999216,-0.2408,295847.47,365491.873
600803.SH,20190402,12.0679,12.3517,11.9211,12.1657,11.9798,0.18590000000000018,1.5518,384673.96,476303.515
600803.SH,20190401,11.647,12.0385,11.6274,11.9798,11.5687,0.41109999999999935,3.5536,350834.02,425080.19
600803.SH,20190329,11.3142,11.5785,11.2457,11.5687,11.3534,0.21529999999999916,1.8963,190051.32,222400.22
600803.SH,20190328,11.7449,11.7449,11.3045,11.3534,11.7742,-0.42079999999999984,-3.5739,260699.12,306266.116
600803.SH,20190327,11.5589,11.7938,11.5589,11.7742,11.4708,0.3033999999999999,2.645,221369.04,264437.383
600803.SH,20190326,11.8428,11.8917,11.4513,11.4708,11.8428,-0.3719999999999999,-3.1411,242669.53,288754.271
600803.SH,20190325,11.7253,12.0972,11.6568,11.8428,11.9406,-0.09779999999999944,-0.8191,245657.36,298749.404
