ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600784.SH,20200226,4.51,4.69,4.5,4.6,4.56,0.040000000000000036,0.8772,58931.82,27212.142
600784.SH,20200225,4.61,4.62,4.46,4.56,4.67,-0.11000000000000032,-2.3555,62950.58,28661.147
600784.SH,20200224,4.72,4.72,4.6,4.67,4.7,-0.03000000000000025,-0.6383,42787.55,19949.078
600784.SH,20200221,4.6,4.75,4.6,4.7,4.63,0.07000000000000028,1.5119,50221.97,23485.079
600784.SH,20200220,4.61,4.65,4.53,4.63,4.58,0.04999999999999982,1.0917,52463.28,24109.629
600784.SH,20200219,4.51,4.62,4.46,4.58,4.5,0.08000000000000007,1.7778,73934.33,33618.501
600784.SH,20200218,4.48,4.53,4.43,4.5,4.48,0.019999999999999574,0.4464,53817.35,24090.587
600784.SH,20200217,4.38,4.5,4.35,4.48,4.37,0.11000000000000032,2.5172,61266.01,27153.477
600784.SH,20200214,4.4,4.43,4.35,4.37,4.38,-0.009999999999999787,-0.2283,28782.8,12617.818
600784.SH,20200213,4.4,4.41,4.35,4.38,4.41,-0.03000000000000025,-0.6803,38586.73,16902.162
600784.SH,20200212,4.37,4.47,4.37,4.41,4.39,0.020000000000000462,0.4556,55791.99,24613.976
600784.SH,20200211,4.42,4.46,4.38,4.39,4.42,-0.03000000000000025,-0.6787,29383.91,12998.387
600784.SH,20200210,4.3,4.44,4.26,4.42,4.3,0.1200000000000001,2.7907,38648.63,16913.035
600784.SH,20200207,4.3,4.34,4.26,4.3,4.32,-0.020000000000000462,-0.463,33213.18,14263.653
600784.SH,20200206,4.28,4.36,4.23,4.32,4.29,0.03000000000000025,0.6993,40487.02,17377.229
600784.SH,20200205,4.24,4.4,4.19,4.29,4.2,0.08999999999999986,2.1429,48948.93,21121.265
600784.SH,20200204,4.06,4.29,4.06,4.2,4.4,-0.20000000000000018,-4.5455,63470.91,26572.481
600784.SH,20200203,4.4,4.4,4.4,4.4,4.89,-0.4899999999999993,-10.0204,13768.0,6057.92
600784.SH,20200123,4.99,5.07,4.86,4.89,5.07,-0.1800000000000006,-3.5503,35322.0,17539.647
600784.SH,20200122,5.12,5.13,5.0,5.07,5.06,0.010000000000000675,0.1976,25967.53,13148.588
600784.SH,20200121,5.17,5.18,5.01,5.06,5.18,-0.1200000000000001,-2.3166,31470.1,16041.506
600784.SH,20200120,5.14,5.21,5.13,5.18,5.15,0.02999999999999936,0.5825,26319.2,13628.922
600784.SH,20200117,5.36,5.36,5.13,5.15,5.32,-0.16999999999999993,-3.1955,36904.0,19288.157
600784.SH,20200116,5.35,5.37,5.28,5.32,5.36,-0.040000000000000036,-0.7463,24430.46,12991.381
600784.SH,20200115,5.36,5.43,5.31,5.36,5.37,-0.009999999999999787,-0.1862,22644.11,12144.412
600784.SH,20200114,5.33,5.39,5.3,5.37,5.32,0.04999999999999982,0.9398,30556.46,16348.242
600784.SH,20200113,5.26,5.33,5.22,5.32,5.27,0.05000000000000071,0.9488,25274.7,13381.95
600784.SH,20200110,5.23,5.38,5.23,5.27,5.27,0.0,0.0,29557.61,15674.206
600784.SH,20200109,5.3,5.34,5.23,5.27,5.23,0.03999999999999915,0.7648,27151.95,14339.058
600784.SH,20200108,5.41,5.41,5.21,5.23,5.42,-0.1899999999999995,-3.5055,45696.02,24287.701
600784.SH,20200107,5.39,5.5,5.38,5.42,5.4,0.019999999999999574,0.3704,54843.52,29811.725
600784.SH,20200106,5.35,5.5,5.3,5.4,5.38,0.020000000000000462,0.3717,78333.22,42534.312
600784.SH,20200103,5.31,5.38,5.26,5.38,5.3,0.08000000000000007,1.5094,55079.47,29331.97
600784.SH,20200102,5.28,5.39,5.27,5.3,5.24,0.05999999999999961,1.145,58234.19,30964.881
600784.SH,20191231,5.31,5.44,5.22,5.24,5.3,-0.05999999999999961,-1.1321,45124.11,23939.33
600784.SH,20191230,5.16,5.47,5.15,5.3,5.2,0.09999999999999964,1.9231,65623.0,34713.396
600784.SH,20191227,5.26,5.28,5.18,5.2,5.3,-0.09999999999999964,-1.8868,42455.94,22170.29
600784.SH,20191226,5.25,5.31,5.17,5.3,5.25,0.04999999999999982,0.9524,56383.88,29509.599
600784.SH,20191225,5.26,5.27,5.2,5.25,5.3,-0.04999999999999982,-0.9434,49044.36,25630.962
600784.SH,20191224,5.2,5.33,5.17,5.3,5.35,-0.04999999999999982,-0.9346,87002.75,45687.729
600784.SH,20191223,5.2,5.55,5.03,5.35,5.27,0.08000000000000007,1.518,216147.0,115942.447
600784.SH,20191220,4.8,5.27,4.76,5.27,4.79,0.47999999999999954,10.0209,68548.07,35366.167
600784.SH,20191219,4.76,4.82,4.75,4.79,4.76,0.03000000000000025,0.6303,19562.0,9357.837
600784.SH,20191218,4.78,4.8,4.73,4.76,4.78,-0.020000000000000462,-0.4184,19830.61,9444.783
600784.SH,20191217,4.72,4.79,4.72,4.78,4.74,0.040000000000000036,0.8439,27345.97,12997.082
600784.SH,20191216,4.72,4.74,4.68,4.74,4.72,0.020000000000000462,0.4237,16269.79,7668.473
600784.SH,20191213,4.67,4.73,4.66,4.72,4.65,0.0699999999999994,1.5054,13435.07,6303.347
600784.SH,20191212,4.7,4.7,4.65,4.65,4.69,-0.040000000000000036,-0.8529,8239.93,3841.342
600784.SH,20191211,4.72,4.72,4.64,4.69,4.71,-0.019999999999999574,-0.4246,9136.37,4268.915
600784.SH,20191210,4.69,4.72,4.66,4.71,4.67,0.040000000000000036,0.8565,13659.51,6409.194
600784.SH,20191209,4.7,4.73,4.66,4.67,4.7,-0.03000000000000025,-0.6383,12430.84,5832.666
600784.SH,20191206,4.63,4.71,4.62,4.7,4.62,0.08000000000000007,1.7316,13963.38,6533.144
600784.SH,20191205,4.62,4.65,4.6,4.62,4.61,0.009999999999999787,0.2169,6773.83,3133.757
600784.SH,20191204,4.63,4.63,4.58,4.61,4.61,0.0,0.0,6861.54,3160.589
600784.SH,20191203,4.61,4.62,4.56,4.61,4.6,0.010000000000000675,0.2174,10625.0,4873.81
600784.SH,20191202,4.66,4.66,4.6,4.6,4.64,-0.040000000000000036,-0.8621,9339.19,4317.36
600784.SH,20191129,4.64,4.68,4.63,4.64,4.65,-0.010000000000000675,-0.2151,6299.38,2928.998
600784.SH,20191128,4.66,4.69,4.64,4.65,4.67,-0.019999999999999574,-0.4283,4306.02,2006.987
600784.SH,20191127,4.63,4.69,4.63,4.67,4.66,0.009999999999999787,0.2146,7441.67,3474.149
600784.SH,20191126,4.77,4.77,4.66,4.66,4.77,-0.10999999999999943,-2.3061,19152.0,8981.428
600784.SH,20191125,4.68,4.88,4.62,4.77,4.66,0.10999999999999943,2.3605,20164.52,9587.018
600784.SH,20191122,4.7,4.7,4.64,4.66,4.66,0.0,0.0,7865.0,3670.008
600784.SH,20191121,4.71,4.72,4.66,4.66,4.71,-0.04999999999999982,-1.0616,9582.0,4484.197
600784.SH,20191120,4.7,4.75,4.7,4.71,4.72,-0.009999999999999787,-0.2119,8913.29,4214.264
600784.SH,20191119,4.65,4.74,4.65,4.72,4.67,0.04999999999999982,1.0707,7331.44,3453.066
600784.SH,20191118,4.66,4.73,4.66,4.67,4.69,-0.020000000000000462,-0.4264,10096.98,4731.517
600784.SH,20191115,4.82,4.82,4.68,4.69,4.78,-0.08999999999999986,-1.8828,10053.07,4739.915
600784.SH,20191114,4.84,4.84,4.75,4.78,4.8,-0.019999999999999574,-0.4167,8488.0,4049.728
600784.SH,20191113,4.83,4.85,4.78,4.8,4.8,0.0,0.0,7305.82,3515.317
600784.SH,20191112,4.79,4.84,4.77,4.8,4.79,0.009999999999999787,0.2088,8762.82,4203.4
600784.SH,20191111,4.89,4.9,4.78,4.79,4.91,-0.1200000000000001,-2.444,16525.0,8000.408
600784.SH,20191108,4.93,4.98,4.9,4.91,4.92,-0.009999999999999787,-0.2033,12246.33,6060.493
600784.SH,20191107,4.94,4.99,4.9,4.92,4.9,0.019999999999999574,0.4082,14508.01,7171.047
600784.SH,20191106,4.91,4.95,4.88,4.9,4.91,-0.009999999999999787,-0.2037,16214.54,7946.554
600784.SH,20191105,4.98,4.99,4.9,4.91,4.95,-0.040000000000000036,-0.8081,17369.8,8561.569
600784.SH,20191104,5.02,5.07,4.92,4.95,5.0,-0.04999999999999982,-1.0,15322.01,7692.028
600784.SH,20191101,4.92,5.01,4.9,5.0,4.89,0.11000000000000032,2.2495,15799.73,7844.521
600784.SH,20191031,4.99,5.0,4.88,4.89,4.95,-0.0600000000000005,-1.2121,16296.0,8020.256
600784.SH,20191030,5.02,5.05,4.94,4.95,5.02,-0.0699999999999994,-1.3944,12972.0,6471.935
600784.SH,20191029,5.12,5.12,5.02,5.02,5.08,-0.0600000000000005,-1.1811,16001.0,8083.236
600784.SH,20191028,5.03,5.09,5.0,5.08,5.03,0.04999999999999982,0.994,18200.22,9216.297
600784.SH,20191025,5.04,5.07,4.96,5.03,5.04,-0.009999999999999787,-0.1984,13141.0,6608.934
600784.SH,20191024,4.99,5.1,4.97,5.04,5.0,0.040000000000000036,0.8,14545.01,7318.708
600784.SH,20191023,5.0,5.07,4.98,5.0,5.0,0.0,0.0,17439.26,8741.684
600784.SH,20191022,4.94,5.02,4.92,5.0,4.95,0.04999999999999982,1.0101,12103.1,6011.571
600784.SH,20191021,4.96,4.97,4.87,4.95,4.96,-0.009999999999999787,-0.2016,13146.25,6466.464
600784.SH,20191018,4.97,5.0,4.94,4.96,4.96,0.0,0.0,9562.69,4755.822
600784.SH,20191017,5.02,5.04,4.96,4.96,5.01,-0.04999999999999982,-0.998,14407.67,7194.51
600784.SH,20191016,5.1,5.12,4.99,5.01,5.12,-0.11000000000000032,-2.1484,14370.67,7264.863
600784.SH,20191015,5.05,5.14,4.99,5.12,5.06,0.0600000000000005,1.1858,19056.0,9663.487
600784.SH,20191014,5.04,5.11,5.04,5.06,5.03,0.02999999999999936,0.5964,12069.0,6119.832
600784.SH,20191011,5.08,5.08,5.01,5.03,5.05,-0.019999999999999574,-0.396,13688.93,6906.796
600784.SH,20191010,5.01,5.08,5.01,5.05,5.06,-0.009999999999999787,-0.1976,7468.01,3776.542
600784.SH,20191009,4.94,5.07,4.88,5.06,4.94,0.11999999999999922,2.4291,23452.58,11691.131
600784.SH,20191008,4.92,4.97,4.9,4.94,4.92,0.020000000000000462,0.4065,7164.0,3535.963
600784.SH,20190930,4.9,4.95,4.88,4.92,4.92,0.0,0.0,7553.66,3717.5
600784.SH,20190927,4.92,4.94,4.89,4.92,4.9,0.019999999999999574,0.4082,13591.01,6690.783
600784.SH,20190926,4.97,5.0,4.9,4.9,4.96,-0.05999999999999961,-1.2097,17513.03,8627.292
600784.SH,20190925,5.03,5.03,4.95,4.96,5.03,-0.07000000000000028,-1.3917,15629.23,7773.863
600784.SH,20190924,5.05,5.08,5.02,5.03,5.04,-0.009999999999999787,-0.1984,14738.98,7436.989
600784.SH,20190923,5.1,5.13,5.01,5.04,5.14,-0.09999999999999964,-1.9455,24710.28,12474.308
600784.SH,20190920,5.12,5.16,5.08,5.14,5.11,0.02999999999999936,0.5871,20206.86,10327.958
600784.SH,20190919,5.14,5.14,5.08,5.11,5.11,0.0,0.0,13482.87,6871.64
600784.SH,20190918,5.12,5.13,5.09,5.11,5.1,0.010000000000000675,0.1961,12954.18,6615.096
600784.SH,20190917,5.23,5.24,5.07,5.1,5.24,-0.14000000000000057,-2.6718,28557.08,14648.824
600784.SH,20190916,5.27,5.29,5.22,5.24,5.25,-0.009999999999999787,-0.1905,23147.69,12174.317
600784.SH,20190912,5.28,5.31,5.21,5.25,5.28,-0.03000000000000025,-0.5682,21659.0,11379.218
600784.SH,20190911,5.27,5.32,5.25,5.28,5.29,-0.009999999999999787,-0.189,22379.0,11829.266
600784.SH,20190910,5.3,5.31,5.21,5.29,5.34,-0.04999999999999982,-0.9363,29583.41,15604.749
600784.SH,20190909,5.22,5.41,5.19,5.34,5.17,0.16999999999999993,3.2882,47822.14,25310.694
600784.SH,20190906,5.21,5.21,5.16,5.17,5.19,-0.020000000000000462,-0.3854,17237.98,8933.482
600784.SH,20190905,5.16,5.24,5.13,5.19,5.13,0.0600000000000005,1.1696,31035.1,16114.489
600784.SH,20190904,5.14,5.16,5.06,5.13,5.14,-0.009999999999999787,-0.1946,22779.0,11660.195
600784.SH,20190903,5.18,5.18,5.12,5.14,5.15,-0.010000000000000675,-0.1942,13167.0,6767.609
600784.SH,20190902,5.1,5.18,5.08,5.15,5.06,0.09000000000000075,1.7787,14177.72,7291.857
600784.SH,20190830,5.19,5.22,5.05,5.06,5.17,-0.11000000000000032,-2.1277,22352.0,11447.585
600784.SH,20190829,5.3,5.3,5.17,5.17,5.3,-0.1299999999999999,-2.4528,25603.56,13344.042
600784.SH,20190828,5.27,5.33,5.23,5.3,5.27,0.03000000000000025,0.5693,18676.86,9859.818
600784.SH,20190827,5.13,5.27,5.13,5.27,5.12,0.14999999999999947,2.9297,21391.68,11152.138
600784.SH,20190826,5.15,5.18,5.1,5.12,5.23,-0.11000000000000032,-2.1033,16422.03,8443.253
600784.SH,20190823,5.24,5.27,5.19,5.23,5.23,0.0,0.0,14677.57,7691.099
600784.SH,20190822,5.29,5.3,5.19,5.23,5.29,-0.05999999999999961,-1.1342,19324.0,10123.68
600784.SH,20190821,5.29,5.33,5.27,5.29,5.29,0.0,0.0,13934.33,7374.82
600784.SH,20190820,5.33,5.33,5.27,5.29,5.33,-0.040000000000000036,-0.7505,19332.92,10240.777
600784.SH,20190819,5.25,5.34,5.21,5.33,5.24,0.08999999999999986,1.7176,25676.91,13594.997
600784.SH,20190816,5.13,5.32,5.12,5.24,5.14,0.10000000000000053,1.9455,26330.31,13816.627
600784.SH,20190815,5.02,5.15,4.99,5.14,5.08,0.05999999999999961,1.1811,19551.03,9962.544
600784.SH,20190814,5.12,5.18,5.07,5.08,5.06,0.020000000000000462,0.3953,14872.0,7606.542
600784.SH,20190813,5.12,5.12,5.06,5.06,5.15,-0.09000000000000075,-1.7476,8640.0,4395.111
600784.SH,20190812,5.11,5.15,5.06,5.15,5.11,0.040000000000000036,0.7828,8685.22,4442.814
600784.SH,20190809,5.22,5.23,5.09,5.11,5.21,-0.09999999999999964,-1.9194,11339.0,5841.075
600784.SH,20190808,5.1,5.21,5.07,5.21,5.08,0.1299999999999999,2.5591,22963.0,11830.939
600784.SH,20190807,5.11,5.15,5.04,5.08,5.09,-0.009999999999999787,-0.1965,11661.0,5941.923
600784.SH,20190806,5.22,5.22,4.98,5.09,5.26,-0.16999999999999993,-3.2319,39682.06,20135.732
600784.SH,20190805,5.18,5.41,5.18,5.26,5.25,0.009999999999999787,0.1905,34393.79,18252.229
600784.SH,20190802,5.3,5.3,5.16,5.25,5.34,-0.08999999999999986,-1.6854,25831.2,13524.123
600784.SH,20190801,5.41,5.48,5.3,5.34,5.34,0.0,0.0,34574.17,18632.372
600784.SH,20190731,5.34,5.48,5.3,5.34,5.37,-0.03000000000000025,-0.5587,37005.18,19836.657
600784.SH,20190730,5.12,5.63,5.12,5.37,5.12,0.25,4.8828,88614.49,48079.814
600784.SH,20190729,5.01,5.12,5.01,5.12,5.0,0.1200000000000001,2.4,16159.18,8219.06
600784.SH,20190726,5.0,5.02,4.97,5.0,4.99,0.009999999999999787,0.2004,9033.0,4514.562
600784.SH,20190725,4.97,5.02,4.95,4.99,4.99,0.0,0.0,9294.0,4640.144
600784.SH,20190724,4.97,5.03,4.95,4.99,4.93,0.0600000000000005,1.217,11443.01,5725.014
600784.SH,20190723,4.99,4.99,4.9,4.93,4.95,-0.020000000000000462,-0.404,10871.99,5376.779
600784.SH,20190722,5.05,5.08,4.94,4.95,5.05,-0.09999999999999964,-1.9802,16207.1,8065.353
600784.SH,20190719,5.06,5.1,5.05,5.05,5.05,0.0,0.0,8072.0,4092.729
600784.SH,20190718,5.0601,5.13,5.0401,5.0501,5.11,-0.05990000000000073,-1.1722,13640.91,6915.126
600784.SH,20190717,5.12,5.1399,5.0701,5.11,5.11,0.0,0.0,11226.49,5744.118
600784.SH,20190716,5.12,5.12,5.0801,5.11,5.11,0.0,0.0,6016.83,3075.713
600784.SH,20190715,5.09,5.13,5.0401,5.11,5.0701,0.03990000000000027,0.787,13946.0,7122.186
600784.SH,20190712,5.0801,5.12,5.0601,5.0701,5.0801,-0.009999999999999787,-0.1968,9431.2,4803.378
600784.SH,20190711,5.0801,5.1699,5.0701,5.0801,5.0801,0.0,0.0,12497.33,6406.553
600784.SH,20190710,5.09,5.09,5.0501,5.0801,5.0801,0.0,0.0,9019.66,4587.002
600784.SH,20190709,5.12,5.12,5.0302,5.0801,5.11,-0.029900000000000482,-0.5851,16363.02,8305.612
600784.SH,20190708,5.2397,5.2597,5.0801,5.11,5.2397,-0.1296999999999997,-2.4753,21705.93,11148.399
600784.SH,20190705,5.2597,5.2597,5.1898,5.2397,5.2298,0.00990000000000002,0.1893,12530.02,6554.022
600784.SH,20190704,5.2797,5.3196,5.2098,5.2298,5.2797,-0.049900000000000055,-0.9451,19315.07,10151.268
600784.SH,20190703,5.3396,5.3695,5.2597,5.2797,5.3396,-0.05989999999999984,-1.1218,22615.41,12032.304
600784.SH,20190702,5.2797,5.3695,5.2497,5.3396,5.2996,0.040000000000000036,0.7548,22594.72,12019.937
600784.SH,20190701,5.2198,5.3196,5.1898,5.2996,5.1499,0.14970000000000017,2.9069,28811.0,15206.733
600784.SH,20190628,5.2597,5.2597,5.12,5.1499,5.2397,-0.08980000000000032,-1.7138,23209.2,11991.075
600784.SH,20190627,5.2497,5.2797,5.1998,5.2397,5.2098,0.029899999999999594,0.5739,15889.86,8352.342
600784.SH,20190626,5.2198,5.2697,5.1998,5.2098,5.2397,-0.029899999999999594,-0.5706,15059.37,7891.84
600784.SH,20190625,5.3495,5.3595,5.1599,5.2397,5.3495,-0.1097999999999999,-2.0525,30830.93,16161.393
600784.SH,20190624,5.3695,5.3994,5.3396,5.3495,5.3795,-0.03000000000000025,-0.5577,21303.48,11464.241
600784.SH,20190621,5.2996,5.4094,5.2896,5.3795,5.3096,0.06990000000000052,1.3165,27493.93,14767.258
600784.SH,20190620,5.2697,5.3396,5.1898,5.3096,5.2497,0.05989999999999984,1.141,29029.91,15328.319
600784.SH,20190619,5.4294,5.4294,5.2298,5.2497,5.2198,0.029899999999999594,0.5728,17409.0,9231.53
600784.SH,20190618,5.1998,5.2497,5.1699,5.2198,5.1898,0.03000000000000025,0.5781,10393.57,5414.644
600784.SH,20190617,5.1998,5.2697,5.1499,5.1898,5.1998,-0.009999999999999787,-0.1923,10287.62,5374.618
600784.SH,20190614,5.2996,5.3695,5.1699,5.1998,5.3096,-0.1097999999999999,-2.068,18767.0,9876.45
600784.SH,20190613,5.3296,5.3396,5.2697,5.3096,5.3096,0.0,0.0,15493.43,8244.506
600784.SH,20190612,5.2697,5.3396,5.2697,5.3096,5.3096,0.0,0.0,17287.77,9195.051
600784.SH,20190611,5.13,5.3396,5.12,5.3096,5.12,0.18959999999999955,3.7031,19752.72,10385.742
600784.SH,20190610,5.13,5.1998,5.1,5.12,5.13,-0.009999999999999787,-0.1949,13971.11,7194.491
600784.SH,20190606,5.2497,5.2497,5.11,5.13,5.2098,-0.07980000000000054,-1.5317,17158.0,8876.818
600784.SH,20190605,5.2697,5.2996,5.2098,5.2098,5.2298,-0.019999999999999574,-0.3824,13625.39,7169.054
600784.SH,20190604,5.3695,5.3895,5.1898,5.2298,5.3695,-0.13970000000000038,-2.6017,20619.13,10887.47
600784.SH,20190603,5.5192,5.5192,5.3495,5.3695,5.5092,-0.1396999999999995,-2.5358,19137.0,10372.977
600784.SH,20190531,5.5392,5.5891,5.4893,5.5092,5.5491,-0.03990000000000027,-0.719,16984.41,9435.435
600784.SH,20190530,5.4793,5.5591,5.4593,5.5491,5.5092,0.03990000000000027,0.7242,22954.97,12701.828
600784.SH,20190529,5.4793,5.5491,5.4094,5.5092,5.4893,0.019899999999999807,0.3625,18272.0,10096.808
600784.SH,20190528,5.5092,5.5891,5.4593,5.4893,5.4593,0.03000000000000025,0.5495,26531.13,14722.975
600784.SH,20190527,5.3595,5.5092,5.3196,5.4593,5.3196,0.1396999999999995,2.6261,19356.56,10524.861
600784.SH,20190524,5.3396,5.4194,5.3096,5.3196,5.3795,-0.05989999999999984,-1.1135,16720.0,8992.841
600784.SH,20190523,5.5591,5.5591,5.3595,5.3795,5.5392,-0.15969999999999995,-2.8831,23290.02,12657.691
600784.SH,20190522,5.6589,5.6889,5.4793,5.5392,5.6689,-0.1296999999999997,-2.2879,27043.83,15106.172
600784.SH,20190521,5.4693,5.6889,5.4194,5.6689,5.4493,0.2195999999999998,4.0299,34766.39,19379.681
600784.SH,20190520,5.4493,5.5092,5.3296,5.4493,5.4294,0.019899999999999807,0.3665,23187.32,12627.497
600784.SH,20190517,5.599,5.619,5.3895,5.4294,5.5891,-0.15969999999999995,-2.8573,36265.34,20048.275
600784.SH,20190516,5.5491,5.599,5.5192,5.5891,5.5891,0.0,0.0,19908.92,11117.814
600784.SH,20190515,5.4893,5.639,5.4693,5.5891,5.4593,0.12980000000000036,2.3776,29117.1,16218.068
600784.SH,20190514,5.4094,5.5591,5.3695,5.4593,5.4693,-0.009999999999999787,-0.1828,31881.02,17584.036
600784.SH,20190513,5.4194,5.5092,5.3396,5.4693,5.4294,0.03989999999999938,0.7349,33028.02,18072.53
600784.SH,20190510,5.3595,5.4294,5.2198,5.4294,5.2797,0.14970000000000017,2.8354,34794.67,18703.732
600784.SH,20190509,5.3096,5.3695,5.1998,5.2797,5.2896,-0.00990000000000002,-0.1872,22594.94,11953.668
600784.SH,20190508,5.1898,5.3695,5.1499,5.2896,5.2697,0.019899999999999807,0.3776,35683.7,18911.623
600784.SH,20190507,5.1499,5.2797,5.1,5.2697,5.1499,0.11980000000000057,2.3263,36381.84,18952.659
600784.SH,20190506,5.3096,5.3096,4.9803,5.1499,5.4094,-0.25950000000000006,-4.7972,63528.75,32578.308
600784.SH,20190430,5.2996,5.4693,5.2996,5.4094,5.3096,0.09980000000000011,1.8796,28278.0,15300.656
600784.SH,20190429,5.5891,5.609,5.3096,5.3096,5.599,-0.28940000000000055,-5.1688,61942.76,33742.564
600784.SH,20190426,5.7488,5.7587,5.599,5.599,5.7587,-0.15969999999999995,-2.7732,61822.57,35126.817
600784.SH,20190425,6.0182,6.0482,5.7388,5.7587,6.0581,-0.29939999999999944,-4.9421,63358.01,37387.699
600784.SH,20190424,6.0382,6.0781,5.9284,6.0581,5.9883,0.06979999999999986,1.1656,49698.0,29960.52
600784.SH,20190423,6.0881,6.158,5.9883,5.9883,6.0881,-0.09980000000000011,-1.6393,58902.0,35766.273
600784.SH,20190422,6.2777,6.3276,6.0881,6.0881,6.2278,-0.13970000000000038,-2.2432,67777.66,41875.567
600784.SH,20190419,6.138,6.2378,6.0981,6.2278,6.128,0.09980000000000011,1.6286,80043.4,49443.237
600784.SH,20190418,6.1879,6.2578,6.0981,6.128,6.2278,-0.09980000000000011,-1.6025,68812.16,42446.059
600784.SH,20190417,6.0482,6.2278,6.0482,6.2278,6.0681,0.15969999999999995,2.6318,104066.72,64156.928
600784.SH,20190416,5.9683,6.0681,5.7987,6.0681,5.9783,0.08980000000000032,1.5021,54041.42,32176.498
600784.SH,20190415,6.0482,6.0781,5.9683,5.9783,5.9783,0.0,0.0,50630.04,30614.855
600784.SH,20190412,5.9683,5.9883,5.9084,5.9783,5.9384,0.03990000000000027,0.6719,47781.24,28486.623
600784.SH,20190411,6.138,6.148,5.9284,5.9384,6.138,-0.19960000000000022,-3.2519,81522.58,49296.938
600784.SH,20190410,6.118,6.1779,6.0382,6.138,6.128,0.009999999999999787,0.1632,60202.66,36877.275
600784.SH,20190409,6.108,6.1779,6.0382,6.128,6.128,0.0,0.0,73767.77,45113.635
600784.SH,20190408,6.1879,6.2578,6.0282,6.128,6.1879,-0.05989999999999984,-0.968,85796.93,52826.905
600784.SH,20190404,6.2578,6.2677,6.158,6.1879,6.2877,-0.09980000000000011,-1.5872,98538.68,61211.868
600784.SH,20190403,6.138,6.2877,6.0482,6.2877,6.138,0.14970000000000017,2.4389,112391.86,69706.479
600784.SH,20190402,6.148,6.1779,6.0781,6.138,6.138,0.0,0.0,94716.02,58132.305
600784.SH,20190401,5.9683,6.138,5.9683,6.138,5.9783,0.15969999999999995,2.6713,90366.66,55091.642
600784.SH,20190329,5.8885,5.9783,5.7488,5.9783,5.8885,0.08980000000000032,1.525,91074.57,53772.835
