ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002973.SZ,20200313,22.84,24.18,22.84,23.06,25.38,-2.3200000000000003,-9.1411,104296.24,243153.318
002973.SZ,20200312,25.5,26.8,25.05,25.38,25.22,0.16000000000000014,0.6344,111640.16,289991.817
002973.SZ,20200311,24.4,25.98,24.4,25.22,24.67,0.5499999999999972,2.2294,98731.18,251371.487
002973.SZ,20200310,23.06,25.02,22.5,24.67,23.89,0.7800000000000011,3.265,96964.29,230480.787
002973.SZ,20200309,24.8,25.02,23.83,23.89,25.27,-1.379999999999999,-5.461,87822.87,213241.111
002973.SZ,20200306,26.3,26.3,24.96,25.27,26.38,-1.1099999999999994,-4.2077,105787.52,269768.559
002973.SZ,20200305,27.73,28.48,26.16,26.38,28.35,-1.9700000000000024,-6.9489,182372.08,495007.059
002973.SZ,20200304,25.9,29.2,25.53,28.35,26.62,1.7300000000000004,6.4989,209532.15,576642.057
002973.SZ,20200303,24.36,26.62,23.91,26.62,24.2,2.4200000000000017,10.0,204384.41,513775.728
002973.SZ,20200302,21.51,24.98,21.51,24.2,23.58,0.620000000000001,2.6293,181251.89,424870.391
002973.SZ,20200228,23.8,27.45,23.5,23.58,25.01,-1.4300000000000033,-5.7177,247774.08,629198.007
002973.SZ,20200227,22.88,25.01,22.33,25.01,22.74,2.270000000000003,9.9824,202933.49,490211.638
002973.SZ,20200226,21.64,23.36,21.0,22.74,21.91,0.8299999999999983,3.7882,148570.78,333055.553
002973.SZ,20200225,21.68,22.85,20.83,21.91,22.35,-0.4400000000000013,-1.9687,109952.92,242541.643
002973.SZ,20200224,21.21,22.66,20.89,22.35,21.07,1.2800000000000011,6.075,113073.16,247543.237
002973.SZ,20200221,20.99,21.33,20.65,21.07,21.09,-0.019999999999999574,-0.0948,76697.74,160515.354
002973.SZ,20200220,22.08,22.25,20.83,21.09,22.07,-0.9800000000000004,-4.4404,106705.57,228422.345
002973.SZ,20200219,22.23,22.69,21.48,22.07,22.99,-0.9199999999999982,-4.0017,134132.65,296294.96
002973.SZ,20200218,23.1,23.49,22.2,22.99,22.93,0.05999999999999872,0.2617,151823.09,347163.829
002973.SZ,20200217,22.99,24.15,22.14,22.93,23.0,-0.07000000000000028,-0.3043,159850.65,369288.75
002973.SZ,20200214,21.0,24.2,20.73,23.0,22.17,0.8299999999999983,3.7438,216059.22,491782.397
002973.SZ,20200213,20.0,22.17,19.56,22.17,20.16,2.0100000000000016,9.9702,188804.51,391892.523
002973.SZ,20200212,19.05,20.87,18.7,20.16,20.02,0.14000000000000057,0.6993,141413.38,274641.047
002973.SZ,20200211,20.81,21.39,20.02,20.02,22.24,-2.219999999999999,-9.982,194880.18,394822.885
002973.SZ,20200210,22.24,22.24,20.08,22.24,20.22,2.0199999999999996,9.9901,240349.49,520207.914
002973.SZ,20200207,19.7,20.22,19.07,20.22,18.38,1.8399999999999999,10.0109,174185.84,346430.459
002973.SZ,20200206,17.4,19.16,17.36,18.38,17.6,0.7799999999999976,4.4318,153448.68,281508.692
002973.SZ,20200205,16.9,18.08,16.61,17.6,17.13,0.4700000000000024,2.7437,145589.62,253103.024
002973.SZ,20200204,15.89,17.13,15.85,17.13,15.57,1.5599999999999987,10.0193,136141.1,225281.504
002973.SZ,20200203,15.63,16.26,15.57,15.57,17.3,-1.7300000000000004,-10.0,111921.31,175788.923
002973.SZ,20200123,17.34,18.02,17.07,17.3,17.6,-0.3000000000000007,-1.7045,105907.27,186276.667
002973.SZ,20200122,18.5,18.57,17.57,17.6,19.52,-1.9199999999999982,-9.8361,174544.88,313728.464
002973.SZ,20200121,23.6,23.6,19.35,19.52,21.45,-1.9299999999999997,-8.9977,257782.62,530849.357
002973.SZ,20200120,21.45,21.45,21.45,21.45,19.5,1.9499999999999993,10.0,6338.59,13596.275
002973.SZ,20200117,19.5,19.5,19.5,19.5,17.73,1.7699999999999996,9.9831,2524.86,4923.477
002973.SZ,20200116,17.73,17.73,17.73,17.73,16.12,1.6099999999999994,9.9876,1376.8,2441.066
002973.SZ,20200115,16.12,16.12,16.12,16.12,14.65,1.4700000000000006,10.0341,2536.04,4088.096
002973.SZ,20200114,14.65,14.65,14.65,14.65,13.32,1.33,9.985,1990.85,2916.595
002973.SZ,20200113,13.32,13.32,13.32,13.32,12.11,1.2100000000000009,9.9917,1705.19,2271.313
002973.SZ,20200110,12.11,12.11,12.11,12.11,11.01,1.0999999999999996,9.9909,1716.0,2078.076
002973.SZ,20200109,11.01,11.01,11.01,11.01,10.01,1.0,9.99,813.02,895.135
002973.SZ,20200108,10.01,10.01,10.01,10.01,9.1,0.9100000000000001,10.0,555.95,556.505
002973.SZ,20200107,9.1,9.1,9.1,9.1,8.27,0.8300000000000001,10.0363,444.23,404.249
002973.SZ,20200106,6.89,8.27,6.89,8.27,5.74,2.5299999999999994,44.0767,1738.38,1434.607
