ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600689.SH,20200225,8.72,8.83,8.32,8.66,8.9,-0.2400000000000002,-2.6966,43148.56,37239.703
600689.SH,20200224,8.81,8.9,8.65,8.9,8.83,0.07000000000000028,0.7928,38178.76,33715.957
600689.SH,20200221,8.83,8.92,8.73,8.83,8.82,0.009999999999999787,0.1134,33689.76,29788.039
600689.SH,20200220,8.72,8.82,8.63,8.82,8.68,0.14000000000000057,1.6129,26601.2,23272.031
600689.SH,20200219,8.72,8.82,8.67,8.68,8.75,-0.07000000000000028,-0.8,25386.35,22184.941
600689.SH,20200218,8.71,8.75,8.62,8.75,8.67,0.08000000000000007,0.9227,27348.32,23784.731
600689.SH,20200217,8.5,8.68,8.4,8.67,8.43,0.2400000000000002,2.847,29614.71,25493.186
600689.SH,20200214,8.54,8.54,8.35,8.43,8.52,-0.08999999999999986,-1.0563,20202.0,17043.605
600689.SH,20200213,8.65,8.67,8.48,8.52,8.63,-0.11000000000000121,-1.2746,21554.9,18413.428
600689.SH,20200212,8.49,8.67,8.41,8.63,8.55,0.08000000000000007,0.9357,19200.63,16516.66
600689.SH,20200211,8.71,8.71,8.51,8.55,8.69,-0.1399999999999988,-1.611,23597.9,20250.478
600689.SH,20200210,8.7,8.85,8.6,8.69,8.95,-0.2599999999999998,-2.905,49125.42,42702.774
600689.SH,20200207,8.29,9.08,8.13,8.95,8.25,0.6999999999999993,8.4848,78519.37,68519.169
600689.SH,20200206,8.03,8.28,7.95,8.25,7.98,0.2699999999999996,3.3835,32971.0,26886.831
600689.SH,20200205,7.81,8.15,7.78,7.98,7.74,0.2400000000000002,3.1008,35069.0,28044.556
600689.SH,20200204,7.45,7.96,7.45,7.74,8.28,-0.5399999999999991,-6.5217,49851.65,38521.712
600689.SH,20200203,8.28,8.28,8.28,8.28,9.2,-0.9199999999999999,-10.0,2789.0,2309.292
600689.SH,20200123,9.51,9.65,9.03,9.2,9.62,-0.41999999999999993,-4.3659,25866.47,24118.045
600689.SH,20200122,9.65,9.68,9.41,9.62,9.76,-0.14000000000000057,-1.4344,20932.43,19997.815
600689.SH,20200121,9.81,9.92,9.73,9.76,9.79,-0.02999999999999936,-0.3064,19330.0,18988.816
600689.SH,20200120,9.67,9.85,9.67,9.79,9.73,0.05999999999999872,0.6166,11961.69,11681.122
600689.SH,20200117,9.79,9.88,9.7,9.73,9.76,-0.02999999999999936,-0.3074,12642.0,12372.981
600689.SH,20200116,9.98,9.98,9.74,9.76,9.92,-0.16000000000000014,-1.6129,17077.0,16791.788
600689.SH,20200115,10.02,10.03,9.85,9.92,10.04,-0.11999999999999922,-1.1952,22429.5,22311.409
600689.SH,20200114,9.93,10.17,9.88,10.04,9.92,0.11999999999999922,1.2097,39406.07,39472.461
600689.SH,20200113,9.88,9.93,9.82,9.92,9.92,0.0,0.0,19448.0,19213.273
600689.SH,20200110,9.88,9.97,9.8,9.92,9.88,0.03999999999999915,0.4049,23233.0,22974.944
600689.SH,20200109,9.84,9.89,9.81,9.88,9.76,0.120000000000001,1.2295,20502.0,20204.582
600689.SH,20200108,9.92,9.92,9.69,9.76,9.93,-0.16999999999999993,-1.712,26674.0,26171.188
600689.SH,20200107,9.85,9.93,9.82,9.93,9.85,0.08000000000000007,0.8122,27286.83,26979.33
600689.SH,20200106,9.71,9.94,9.7,9.85,9.81,0.03999999999999915,0.4077,26399.0,25997.166
600689.SH,20200103,9.88,9.95,9.77,9.81,9.87,-0.05999999999999872,-0.6079,25518.7,25107.536
600689.SH,20200102,9.86,9.95,9.8,9.87,9.8,0.06999999999999851,0.7143,25774.01,25469.835
600689.SH,20191231,9.64,9.97,9.63,9.8,9.66,0.14000000000000057,1.4493,38844.72,38199.835
600689.SH,20191230,9.52,9.68,9.41,9.66,9.57,0.08999999999999986,0.9404,17645.7,16899.207
600689.SH,20191227,9.68,9.68,9.56,9.57,9.61,-0.03999999999999915,-0.4162,12860.69,12367.035
600689.SH,20191226,9.56,9.65,9.55,9.61,9.54,0.07000000000000028,0.7338,10453.6,10036.308
600689.SH,20191225,9.52,9.63,9.48,9.54,9.52,0.019999999999999574,0.2101,12995.01,12426.958
600689.SH,20191224,9.38,9.54,9.33,9.52,9.39,0.129999999999999,1.3845,11684.0,11064.612
600689.SH,20191223,9.72,9.73,9.36,9.39,9.7,-0.3099999999999987,-3.1959,19061.0,18199.154
600689.SH,20191220,9.75,9.77,9.67,9.7,9.72,-0.02000000000000135,-0.2058,15204.4,14758.24
600689.SH,20191219,9.76,9.76,9.65,9.72,9.72,0.0,0.0,16805.4,16295.76
600689.SH,20191218,9.75,9.8,9.7,9.72,9.78,-0.05999999999999872,-0.6135,21776.0,21219.462
600689.SH,20191217,9.66,9.85,9.64,9.78,9.69,0.08999999999999986,0.9288,33398.01,32597.22
600689.SH,20191216,9.7,9.78,9.56,9.69,9.67,0.019999999999999574,0.2068,25554.46,24667.228
600689.SH,20191213,9.41,9.96,9.35,9.67,9.3,0.3699999999999992,3.9785,44033.44,42643.918
600689.SH,20191212,9.38,9.4,9.3,9.3,9.39,-0.08999999999999986,-0.9585,11250.24,10495.51
600689.SH,20191211,9.43,9.48,9.36,9.39,9.42,-0.02999999999999936,-0.3185,8659.0,8149.805
600689.SH,20191210,9.41,9.44,9.32,9.42,9.4,0.019999999999999574,0.2128,9572.0,8983.009
600689.SH,20191209,9.42,9.47,9.36,9.4,9.42,-0.019999999999999574,-0.2123,8983.0,8436.437
600689.SH,20191206,9.43,9.46,9.36,9.42,9.43,-0.009999999999999787,-0.106,9111.12,8561.369
600689.SH,20191205,9.38,9.45,9.34,9.43,9.37,0.0600000000000005,0.6403,10417.2,9806.762
600689.SH,20191204,9.3,9.38,9.27,9.37,9.37,0.0,0.0,6947.5,6486.901
600689.SH,20191203,9.26,9.37,9.19,9.37,9.23,0.1399999999999988,1.5168,8522.01,7912.216
600689.SH,20191202,9.25,9.29,9.21,9.23,9.21,0.019999999999999574,0.2172,8044.0,7442.985
600689.SH,20191129,9.3,9.34,9.18,9.21,9.34,-0.129999999999999,-1.3919,12086.01,11155.92
600689.SH,20191128,9.42,9.47,9.33,9.34,9.44,-0.09999999999999964,-1.0593,10965.0,10284.473
600689.SH,20191127,9.42,9.49,9.39,9.44,9.44,0.0,0.0,9312.0,8782.267
600689.SH,20191126,9.46,9.53,9.43,9.44,9.46,-0.02000000000000135,-0.2114,6580.15,6222.571
600689.SH,20191125,9.53,9.54,9.42,9.46,9.54,-0.0799999999999983,-0.8386,11254.02,10642.437
600689.SH,20191122,9.6,9.75,9.5,9.54,9.61,-0.07000000000000028,-0.7284,10038.0,9642.892
600689.SH,20191121,9.6,9.68,9.57,9.61,9.61,0.0,0.0,6571.0,6315.726
600689.SH,20191120,9.69,9.73,9.61,9.61,9.65,-0.040000000000000924,-0.4145,9383.0,9076.242
600689.SH,20191119,9.5,9.68,9.45,9.65,9.5,0.15000000000000036,1.5789,11755.56,11318.811
600689.SH,20191118,9.38,9.52,9.38,9.5,9.44,0.0600000000000005,0.6356,8404.0,7958.86
600689.SH,20191115,9.66,9.67,9.44,9.44,9.63,-0.19000000000000128,-1.973,14451.54,13786.164
600689.SH,20191114,9.66,9.69,9.56,9.63,9.65,-0.019999999999999574,-0.2073,12752.01,12265.957
600689.SH,20191113,9.7,9.74,9.58,9.65,9.69,-0.03999999999999915,-0.4128,9255.0,8935.161
600689.SH,20191112,9.63,9.71,9.54,9.69,9.6,0.08999999999999986,0.9375,11892.0,11460.223
600689.SH,20191111,9.9,9.9,9.55,9.6,9.95,-0.34999999999999964,-3.5176,21186.02,20621.594
600689.SH,20191108,10.0,10.05,9.9,9.95,9.98,-0.030000000000001137,-0.3006,12426.07,12402.732
600689.SH,20191107,9.95,10.03,9.82,9.98,9.95,0.030000000000001137,0.3015,14464.0,14406.523
600689.SH,20191106,10.16,10.2,9.87,9.95,10.2,-0.25,-2.451,33326.0,33338.05
600689.SH,20191105,10.52,10.53,10.09,10.2,10.53,-0.33000000000000007,-3.1339,41244.77,42246.997
600689.SH,20191104,10.57,10.68,10.41,10.53,10.57,-0.040000000000000924,-0.3784,38667.02,40715.794
600689.SH,20191101,10.21,10.69,10.11,10.57,10.23,0.33999999999999986,3.3236,36174.77,37587.604
600689.SH,20191031,10.45,10.52,10.15,10.23,10.41,-0.17999999999999972,-1.7291,34821.2,35845.363
600689.SH,20191030,10.69,10.85,10.33,10.41,10.68,-0.2699999999999996,-2.5281,54666.2,57767.917
600689.SH,20191029,10.56,10.77,10.47,10.68,10.63,0.049999999999998934,0.4704,52363.73,55629.925
600689.SH,20191028,10.28,10.78,10.28,10.63,10.5,0.13000000000000078,1.2381,67855.09,71858.999
600689.SH,20191025,10.29,10.5,10.07,10.5,10.28,0.22000000000000064,2.1401,50773.81,52388.681
600689.SH,20191024,10.28,10.37,10.18,10.28,10.26,0.019999999999999574,0.1949,22973.49,23538.455
600689.SH,20191023,10.4,10.43,10.21,10.26,10.42,-0.16000000000000014,-1.5355,33510.0,34546.888
600689.SH,20191022,10.11,10.5,10.06,10.42,10.14,0.27999999999999936,2.7613,63056.08,65376.774
600689.SH,20191021,9.99,10.33,9.83,10.14,9.89,0.25,2.5278,34394.53,34716.151
600689.SH,20191018,10.1,10.15,9.81,9.89,10.0,-0.10999999999999943,-1.1,22293.0,22260.325
600689.SH,20191017,10.11,10.11,9.97,10.0,10.05,-0.05000000000000071,-0.4975,13022.01,13081.774
600689.SH,20191016,10.08,10.27,10.05,10.05,10.07,-0.019999999999999574,-0.1986,24328.0,24673.449
600689.SH,20191015,10.13,10.17,9.97,10.07,10.15,-0.08000000000000007,-0.7882,13500.0,13575.057
600689.SH,20191014,10.17,10.2,10.06,10.15,10.06,0.08999999999999986,0.8946,18925.43,19211.172
600689.SH,20191011,10.05,10.09,9.98,10.06,10.05,0.009999999999999787,0.0995,12419.0,12470.491
600689.SH,20191010,9.94,10.06,9.9,10.05,9.94,0.11000000000000121,1.1066,21241.41,21216.243
600689.SH,20191009,9.86,9.97,9.75,9.94,9.86,0.08000000000000007,0.8114,9142.0,9023.906
600689.SH,20191008,9.88,9.95,9.83,9.86,9.85,0.009999999999999787,0.1015,11868.0,11737.511
600689.SH,20190930,9.9,9.97,9.85,9.85,9.9,-0.05000000000000071,-0.5051,13611.0,13515.257
600689.SH,20190927,9.98,9.98,9.85,9.9,9.88,0.019999999999999574,0.2024,13960.0,13848.565
600689.SH,20190926,10.23,10.28,9.81,9.88,10.22,-0.33999999999999986,-3.3268,29257.57,29242.646
600689.SH,20190925,10.33,10.42,10.22,10.22,10.33,-0.10999999999999943,-1.0649,23040.01,23810.466
600689.SH,20190924,10.32,10.42,10.32,10.33,10.32,0.009999999999999787,0.0969,16041.01,16625.964
600689.SH,20190923,10.43,10.43,10.28,10.32,10.47,-0.15000000000000036,-1.4327,29066.85,30063.667
600689.SH,20190920,10.5,10.6,10.42,10.47,10.61,-0.1399999999999988,-1.3195,38775.93,40667.066
600689.SH,20190919,10.61,10.7,10.35,10.61,10.61,0.0,0.0,69200.24,72481.4
600689.SH,20190918,10.29,10.97,10.26,10.61,10.41,0.1999999999999993,1.9212,105496.02,113209.363
600689.SH,20190917,10.57,11.2,10.3,10.41,10.55,-0.14000000000000057,-1.327,56806.8,59921.629
600689.SH,20190916,10.59,10.64,10.48,10.55,10.56,-0.009999999999999787,-0.0947,25611.8,27044.032
600689.SH,20190912,10.54,10.6,10.47,10.56,10.49,0.07000000000000028,0.6673,22409.9,23615.239
600689.SH,20190911,10.6,10.67,10.47,10.49,10.6,-0.10999999999999943,-1.0377,29536.15,31163.056
600689.SH,20190910,10.56,10.62,10.45,10.6,10.53,0.07000000000000028,0.6648,35205.0,37091.194
600689.SH,20190909,10.39,10.54,10.35,10.53,10.33,0.1999999999999993,1.9361,38632.01,40403.42
600689.SH,20190906,10.29,10.45,10.28,10.33,10.32,0.009999999999999787,0.0969,24711.13,25576.534
600689.SH,20190905,10.4,10.61,10.31,10.32,10.27,0.05000000000000071,0.4869,50924.01,52967.979
600689.SH,20190904,10.32,10.32,10.15,10.27,10.23,0.03999999999999915,0.391,23104.01,23587.149
600689.SH,20190903,10.18,10.27,10.14,10.23,10.18,0.05000000000000071,0.4912,25009.0,25497.25
600689.SH,20190902,10.07,10.2,9.9,10.18,9.99,0.1899999999999995,1.9019,29158.0,29542.504
600689.SH,20190830,10.25,10.29,9.95,9.99,10.2,-0.20999999999999908,-2.0588,32646.0,32918.279
600689.SH,20190829,10.28,10.28,10.15,10.2,10.2,0.0,0.0,25495.24,26026.661
600689.SH,20190828,10.2,10.27,10.12,10.2,10.17,0.02999999999999936,0.295,25648.02,26156.824
600689.SH,20190827,10.07,10.26,10.07,10.17,10.05,0.11999999999999922,1.194,33235.5,33878.669
600689.SH,20190826,9.88,10.15,9.78,10.05,10.17,-0.11999999999999922,-1.1799,23719.51,23766.565
600689.SH,20190823,10.19,10.34,10.11,10.17,10.17,0.0,0.0,30638.26,31251.548
600689.SH,20190822,10.34,10.35,10.12,10.17,10.28,-0.10999999999999943,-1.07,37310.01,38014.892
600689.SH,20190821,10.12,10.56,10.06,10.28,10.12,0.16000000000000014,1.581,64473.0,66797.634
600689.SH,20190820,10.01,10.26,9.96,10.12,10.05,0.06999999999999851,0.6965,35092.26,35459.293
600689.SH,20190819,9.76,10.2,9.73,10.05,9.67,0.3800000000000008,3.9297,42585.24,42367.98
600689.SH,20190816,9.61,9.77,9.58,9.67,9.67,0.0,0.0,19695.0,19071.159
600689.SH,20190815,9.5,9.69,9.36,9.67,9.74,-0.07000000000000028,-0.7187,22760.86,21684.619
600689.SH,20190814,9.83,9.87,9.7,9.74,9.72,0.019999999999999574,0.2058,18879.12,18462.526
600689.SH,20190813,9.71,9.77,9.67,9.72,9.8,-0.08000000000000007,-0.8163,18991.36,18438.676
600689.SH,20190812,9.84,9.94,9.7,9.8,9.8,0.0,0.0,36983.54,36314.65
600689.SH,20190809,10.3,10.37,9.8,9.8,10.25,-0.4499999999999993,-4.3902,53431.0,53467.951
600689.SH,20190808,10.21,10.45,10.2,10.25,10.28,-0.02999999999999936,-0.2918,25474.01,26189.057
600689.SH,20190807,10.6,10.66,10.22,10.28,10.28,0.0,0.0,37413.26,38961.684
600689.SH,20190806,10.66,10.8,10.07,10.28,10.85,-0.5700000000000003,-5.2535,71533.01,74500.47
600689.SH,20190805,10.75,11.09,10.69,10.85,10.6,0.25,2.3585,77573.23,84519.541
600689.SH,20190802,10.72,10.72,10.46,10.6,10.77,-0.16999999999999993,-1.5785,35867.01,37854.205
600689.SH,20190801,10.9,11.02,10.75,10.77,10.9,-0.13000000000000078,-1.1927,47741.0,51830.31
600689.SH,20190731,10.8,11.18,10.67,10.9,11.14,-0.2400000000000002,-2.1544,102905.67,111169.538
600689.SH,20190730,11.61,11.64,11.02,11.14,10.58,0.5600000000000005,5.293,170463.85,194857.971
600689.SH,20190729,10.82,10.88,10.58,10.58,10.9,-0.3200000000000003,-2.9358,33919.09,36304.669
600689.SH,20190726,10.59,10.95,10.5,10.9,10.61,0.2900000000000009,2.7333,53308.64,57530.361
600689.SH,20190725,10.59,10.82,10.59,10.61,10.44,0.16999999999999993,1.6284,49626.19,53062.993
600689.SH,20190724,10.35,10.52,10.35,10.44,10.31,0.129999999999999,1.2609,20477.55,21404.034
600689.SH,20190723,10.16,10.33,10.1,10.31,10.15,0.16000000000000014,1.5764,13171.31,13506.906
600689.SH,20190722,10.55,10.55,9.96,10.15,10.51,-0.35999999999999943,-3.4253,23643.0,24058.502
600689.SH,20190719,10.52,10.61,10.45,10.51,10.48,0.02999999999999936,0.2863,17225.0,18165.656
600689.SH,20190718,10.6,10.62,10.47,10.48,10.67,-0.1899999999999995,-1.7807,16659.03,17527.891
600689.SH,20190717,10.67,10.75,10.61,10.67,10.67,0.0,0.0,19674.0,21015.908
600689.SH,20190716,10.6,10.75,10.6,10.67,10.68,-0.009999999999999787,-0.0936,15485.48,16514.711
600689.SH,20190715,10.68,10.74,10.44,10.68,10.64,0.03999999999999915,0.3759,16028.07,17026.314
600689.SH,20190712,10.57,10.74,10.52,10.64,10.54,0.10000000000000142,0.9488,21603.88,22921.479
600689.SH,20190711,10.55,10.65,10.42,10.54,10.54,0.0,0.0,16387.41,17295.148
600689.SH,20190710,10.53,10.68,10.41,10.54,10.52,0.019999999999999574,0.1901,16650.5,17594.307
600689.SH,20190709,10.44,10.61,10.39,10.52,10.49,0.02999999999999936,0.286,19957.47,20929.302
600689.SH,20190708,11.03,11.03,10.47,10.49,11.06,-0.5700000000000003,-5.1537,37021.46,39390.994
600689.SH,20190705,11.0583,11.188,10.9984,11.0583,11.0583,0.0,0.0,24628.99,27374.126
600689.SH,20190704,11.1681,11.2778,10.9784,11.0583,11.1681,-0.10980000000000167,-0.9832,22313.0,24843.201
600689.SH,20190703,11.178,11.3976,11.0383,11.1681,11.178,-0.00990000000000002,-0.0886,31641.5,35441.4
600689.SH,20190702,11.3577,11.3577,11.1481,11.178,11.3377,-0.15969999999999906,-1.4086,34703.0,39025.2
600689.SH,20190701,11.2778,11.3776,11.1082,11.3377,11.1082,0.22949999999999982,2.066,65745.39,74304.635
600689.SH,20190628,10.9884,11.2878,10.7289,11.1082,10.9485,0.15970000000000084,1.4586,60565.37,67267.74
600689.SH,20190627,10.9684,11.0583,10.9086,10.9485,10.9385,0.009999999999999787,0.0914,25273.11,27828.953
600689.SH,20190626,11.1082,11.1381,10.9185,10.9385,11.2679,-0.3293999999999997,-2.9233,47993.09,53035.692
600689.SH,20190625,11.0782,11.4774,10.8986,11.2679,11.1281,0.13979999999999926,1.2563,76588.09,85556.669
600689.SH,20190624,11.0782,11.2878,10.9884,11.1281,11.0882,0.03989999999999938,0.3598,53486.41,59695.512
600689.SH,20190621,10.9585,11.3577,10.8487,11.0882,10.7888,0.29940000000000033,2.7751,85490.0,94966.59
600689.SH,20190620,10.6291,10.8487,10.5792,10.7888,10.6491,0.1396999999999995,1.3118,43611.0,46947.579
600689.SH,20190619,10.7489,10.8187,10.6291,10.6491,10.5193,0.12980000000000125,1.2339,37848.0,40639.266
600689.SH,20190618,10.5493,10.6191,10.4794,10.5193,10.5892,-0.06990000000000052,-0.6601,15616.0,16472.367
600689.SH,20190617,10.4894,10.679,10.4594,10.5892,10.5193,0.06990000000000052,0.6645,19506.75,20700.852
600689.SH,20190614,10.7489,10.8387,10.4794,10.5193,10.7489,-0.22960000000000136,-2.136,32953.0,35144.196
600689.SH,20190613,10.5692,10.8886,10.5692,10.7489,10.6391,0.10980000000000167,1.032,47925.0,51732.445
600689.SH,20190612,10.709,10.8686,10.6191,10.6391,10.7788,-0.13970000000000127,-1.2961,35794.23,38452.743
600689.SH,20190611,10.3297,10.8387,10.3297,10.7788,10.3796,0.39920000000000044,3.846,50139.41,53608.379
600689.SH,20190610,10.3696,10.4594,10.2199,10.3796,10.2199,0.15969999999999906,1.5626,17146.0,17761.917
600689.SH,20190606,10.5592,10.5592,10.1501,10.2199,10.5592,-0.3392999999999997,-3.2133,30362.0,31442.884
600689.SH,20190605,10.7788,10.7988,10.5293,10.5592,10.699,-0.13979999999999926,-1.3067,34763.0,37198.202
600689.SH,20190604,10.6391,10.9285,10.3996,10.699,10.6391,0.05990000000000073,0.563,47236.0,49959.102
600689.SH,20190603,10.8587,10.9185,10.5892,10.6391,10.9285,-0.28940000000000055,-2.6481,42371.41,45499.645
600689.SH,20190531,11.0882,11.1381,10.8686,10.9285,11.2379,-0.3094000000000001,-2.7532,71019.91,78005.942
600689.SH,20190530,10.9086,11.707,10.679,11.2379,11.1082,0.1296999999999997,1.1676,102095.01,114290.255
600689.SH,20190529,11.198,11.3277,11.0682,11.1082,11.178,-0.06980000000000075,-0.6244,61824.35,69189.004
600689.SH,20190528,10.9485,11.7769,10.8886,11.178,10.8387,0.3393000000000015,3.1304,112622.36,128112.51
600689.SH,20190527,10.3497,10.8886,10.3497,10.8387,10.4295,0.40919999999999845,3.9235,49357.89,52903.359
600689.SH,20190524,10.5792,10.7589,10.3397,10.4295,10.6591,-0.22959999999999958,-2.154,48289.03,50957.836
600689.SH,20190523,10.9285,11.208,10.6191,10.6591,10.9285,-0.2693999999999992,-2.4651,58097.06,63145.404
600689.SH,20190522,11.2579,11.2579,10.7888,10.9285,11.178,-0.24950000000000117,-2.2321,53781.43,59290.105
600689.SH,20190521,10.8287,11.4375,10.6291,11.178,10.8287,0.3493000000000013,3.2257,62834.12,69945.895
600689.SH,20190520,10.9585,11.178,10.5293,10.8287,11.0483,-0.2195999999999998,-1.9876,54380.8,58696.526
600689.SH,20190517,11.4575,11.6271,10.9884,11.0483,11.4475,-0.39920000000000044,-3.4872,74393.48,84055.317
600689.SH,20190516,11.2679,11.6172,11.2679,11.4475,11.3876,0.059899999999998954,0.526,69221.89,79322.689
600689.SH,20190515,11.1581,11.5772,11.1581,11.3876,11.198,0.18960000000000043,1.6932,83389.6,95200.988
600689.SH,20190514,11.1481,11.6471,11.0682,11.198,11.4076,-0.2096,-1.8374,81394.8,92696.382
600689.SH,20190513,11.0882,11.677,11.0084,11.4076,11.0682,0.33940000000000126,3.0664,108898.91,124091.14
600689.SH,20190510,10.689,11.0682,10.4395,11.0682,10.669,0.39919999999999867,3.7417,82261.05,89498.68
600689.SH,20190509,10.4794,10.8187,10.3297,10.669,10.4894,0.17960000000000065,1.7122,50020.01,52984.629
600689.SH,20190508,10.1501,10.7788,10.1201,10.4894,10.4794,0.009999999999999787,0.0954,44724.0,47134.11
600689.SH,20190507,10.2998,10.699,10.2099,10.4794,10.2,0.27940000000000076,2.7392,46470.41,48593.86
600689.SH,20190506,10.7788,11.1481,10.0702,10.2,11.178,-0.9780000000000015,-8.7493,78208.01,83131.814
600689.SH,20190430,11.0283,11.4375,10.9385,11.178,10.8587,0.31930000000000014,2.9405,55307.99,62149.869
600689.SH,20190429,11.5772,11.8068,10.6491,10.8587,11.6471,-0.7883999999999993,-6.7691,83400.27,93766.192
600689.SH,20190426,11.9365,12.0264,11.6271,11.6471,12.2559,-0.6088000000000005,-4.9674,99388.45,117509.647
600689.SH,20190425,12.5154,13.1142,12.206,12.2559,12.5154,-0.2594999999999992,-2.0734,131778.42,167518.272
600689.SH,20190424,12.6751,12.8248,12.0563,12.5154,12.8448,-0.3293999999999997,-2.5645,127730.66,158434.736
600689.SH,20190423,12.3657,13.4236,12.2759,12.8448,12.4056,0.4391999999999996,3.5403,191641.61,246833.997
600689.SH,20190422,12.226,13.0743,12.226,12.4056,12.5753,-0.16970000000000063,-1.3495,109023.59,137842.143
600689.SH,20190419,12.5853,12.8448,12.4755,12.5753,12.5952,-0.019899999999999807,-0.158,88828.66,112366.461
600689.SH,20190418,12.6751,12.8547,12.4855,12.5952,13.0643,-0.4690999999999992,-3.5907,165523.19,209982.822
600689.SH,20190417,12.4755,13.5633,12.4356,13.0643,12.3258,0.7385000000000002,5.9915,273769.13,360411.461
600689.SH,20190416,12.186,12.3557,11.7769,12.3258,12.4156,-0.08980000000000032,-0.7233,96626.02,116949.271
600689.SH,20190415,12.6352,12.9745,12.3857,12.4156,12.5753,-0.15970000000000084,-1.2699,85999.0,109775.075
600689.SH,20190412,12.4356,12.8248,12.4356,12.5753,12.5553,0.019999999999999574,0.1593,74119.0,93987.86
600689.SH,20190411,12.6751,12.9745,12.5054,12.5553,12.6851,-0.12979999999999947,-1.0232,98355.47,125586.175
600689.SH,20190410,12.6751,12.9046,12.3757,12.6851,12.7949,-0.1097999999999999,-0.8582,109287.57,138505.328
600689.SH,20190409,12.7749,13.0943,12.6352,12.7949,13.1442,-0.3492999999999995,-2.6574,131227.01,168730.011
600689.SH,20190408,12.6352,13.4536,12.4655,13.1442,12.8847,0.2594999999999992,2.014,242005.98,312441.074
600689.SH,20190404,13.8528,14.1921,12.2759,12.8847,13.0643,-0.17959999999999887,-1.3747,336747.59,450715.0
600689.SH,20190403,11.727,13.0643,11.6072,13.0643,11.8767,1.1875999999999998,9.9994,219641.6,277096.978
600689.SH,20190402,11.9665,12.206,11.717,11.8767,11.8467,0.02999999999999936,0.2532,110732.22,132539.849
600689.SH,20190401,11.5673,11.9964,11.5673,11.8467,11.5473,0.29940000000000033,2.5928,91948.68,108836.144
600689.SH,20190329,11.198,11.5673,11.178,11.5473,11.1681,0.3791999999999991,3.3954,82559.64,94425.411
