ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300799.SZ,20200205,83.59,87.3,83.31,85.12,84.05,1.0700000000000074,1.2731,21153.72,181193.079
300799.SZ,20200204,80.35,84.98,80.35,84.05,89.28,-5.230000000000004,-5.858,29945.51,247569.822
300799.SZ,20200203,89.28,89.28,89.28,89.28,99.2,-9.920000000000002,-10.0,1229.0,10972.512
300799.SZ,20200123,111.0,111.98,99.09,99.2,110.1,-10.899999999999991,-9.9001,34366.27,354927.79
300799.SZ,20200122,110.0,111.11,106.54,110.1,110.12,-0.020000000000010232,-0.0182,15392.9,167653.334
300799.SZ,20200121,113.0,113.57,110.12,110.12,113.9,-3.780000000000001,-3.3187,13770.43,153911.592
300799.SZ,20200120,111.09,113.9,109.21,113.9,113.01,0.8900000000000006,0.7875,19554.44,218144.537
300799.SZ,20200117,116.8,117.6,112.57,113.01,116.99,-3.9799999999999898,-3.402,23690.43,272131.456
300799.SZ,20200116,116.54,118.51,114.86,116.99,116.72,0.269999999999996,0.2313,22626.4,264488.109
300799.SZ,20200115,116.12,118.86,113.55,116.72,115.05,1.6700000000000017,1.4515,25686.83,298341.226
300799.SZ,20200114,110.77,120.69,110.53,115.05,109.77,5.280000000000001,4.8101,36170.0,417065.174
300799.SZ,20200113,109.39,109.78,106.18,109.77,109.39,0.37999999999999545,0.3474,17208.1,186384.946
300799.SZ,20200110,109.96,111.7,107.99,109.39,108.72,0.6700000000000017,0.6163,16338.89,179358.486
300799.SZ,20200109,109.26,110.8,108.5,108.72,107.51,1.2099999999999937,1.1255,17430.47,190804.701
300799.SZ,20200108,111.12,114.0,107.51,107.51,111.95,-4.439999999999998,-3.9661,22681.32,252081.547
300799.SZ,20200107,108.04,113.39,106.28,111.95,108.42,3.530000000000001,3.2559,32153.85,353961.853
300799.SZ,20200106,108.0,110.7,107.28,108.42,110.8,-2.3799999999999955,-2.148,21961.21,239574.819
300799.SZ,20200103,107.0,113.81,106.75,110.8,106.83,3.969999999999999,3.7162,34524.81,380690.66
300799.SZ,20200102,106.9,108.42,104.4,106.83,105.16,1.6700000000000017,1.5881,20368.0,217853.708
300799.SZ,20191231,102.3,109.87,101.54,105.16,102.86,2.299999999999997,2.236,29319.11,310775.738
300799.SZ,20191230,104.0,104.8,97.03,102.86,107.2,-4.340000000000003,-4.0485,26594.09,268064.992
300799.SZ,20191227,104.38,109.48,104.11,107.2,104.47,2.730000000000004,2.6132,28661.96,305794.753
300799.SZ,20191226,104.7,106.49,103.38,104.47,105.13,-0.6599999999999966,-0.6278,17026.94,178222.541
300799.SZ,20191225,103.1,106.5,102.55,105.13,104.28,0.8499999999999943,0.8151,20245.94,211956.957
300799.SZ,20191224,103.28,104.37,102.51,104.28,102.68,1.5999999999999943,1.5582,13707.59,142085.05
300799.SZ,20191223,104.59,105.0,102.51,102.68,106.6,-3.9199999999999875,-3.6773,20412.53,211770.069
300799.SZ,20191220,107.97,108.9,105.5,106.6,110.86,-4.260000000000005,-3.8427,31052.02,332349.886
300799.SZ,20191219,118.89,120.0,110.0,110.86,117.0,-6.140000000000001,-5.2479,44588.64,508461.702
300799.SZ,20191218,114.22,117.0,113.22,117.0,114.3,2.700000000000003,2.3622,33566.98,387917.686
300799.SZ,20191217,114.97,117.68,114.03,114.3,113.47,0.8299999999999983,0.7315,30431.72,351434.471
300799.SZ,20191216,112.5,113.99,111.0,113.47,112.1,1.3700000000000045,1.2221,24061.41,271490.669
300799.SZ,20191213,112.03,114.8,110.5,112.1,111.38,0.7199999999999989,0.6464,25736.73,288377.578
300799.SZ,20191212,119.85,120.0,110.34,111.38,121.7,-10.320000000000007,-8.4799,52332.54,596091.853
300799.SZ,20191211,118.0,125.3,118.0,121.7,118.74,2.960000000000008,2.4928,53756.8,657015.477
300799.SZ,20191210,116.0,121.38,114.3,118.74,117.16,1.5799999999999983,1.3486,47039.83,551548.42
300799.SZ,20191209,114.18,117.87,113.2,117.16,113.51,3.6499999999999915,3.2156,43053.55,498494.676
300799.SZ,20191206,115.77,116.37,112.8,113.51,116.75,-3.239999999999995,-2.7752,42382.58,484498.467
300799.SZ,20191205,121.0,122.43,116.62,116.75,118.5,-1.75,-1.4768,53936.03,642481.718
300799.SZ,20191204,114.0,118.5,112.55,118.5,115.86,2.6400000000000006,2.2786,46890.79,539810.329
300799.SZ,20191203,110.01,119.66,110.01,115.86,112.18,3.6799999999999926,3.2804,54284.38,628727.921
300799.SZ,20191202,110.07,114.13,109.55,112.18,110.21,1.970000000000013,1.7875,41662.88,465605.251
300799.SZ,20191129,117.9,122.0,110.01,110.21,120.42,-10.210000000000008,-8.4787,63952.18,739292.451
300799.SZ,20191128,117.58,121.5,115.01,120.42,120.31,0.10999999999999943,0.0914,57519.22,680733.154
300799.SZ,20191127,120.0,123.47,116.8,120.31,123.89,-3.5799999999999983,-2.8897,62058.36,744511.668
300799.SZ,20191126,126.1,131.98,123.89,123.89,137.66,-13.769999999999996,-10.0029,67040.38,849340.747
300799.SZ,20191125,145.07,145.44,137.66,137.66,152.95,-15.289999999999992,-9.9967,19759.0,277911.089
300799.SZ,20191122,148.25,156.5,138.91,152.95,148.56,4.389999999999986,2.955,98653.1,1474885.767
300799.SZ,20191121,139.98,156.27,131.88,148.56,142.12,6.439999999999998,4.5314,127846.9,1845449.176
300799.SZ,20191120,142.12,142.12,142.12,142.12,129.2,12.920000000000016,10.0,2192.8,31164.073
300799.SZ,20191119,129.2,129.2,129.2,129.2,117.45,11.749999999999986,10.0043,11799.22,152445.922
300799.SZ,20191118,117.45,117.45,117.45,117.45,106.77,10.680000000000007,10.0028,12927.62,151834.896
300799.SZ,20191115,106.77,106.77,106.77,106.77,97.06,9.709999999999994,10.0041,5252.38,56079.661
300799.SZ,20191114,97.06,97.06,97.06,97.06,88.24,8.820000000000007,9.9955,895.0,8686.87
300799.SZ,20191113,88.24,88.24,88.24,88.24,80.22,8.019999999999996,9.9975,1428.74,12607.201
300799.SZ,20191112,80.22,80.22,80.22,80.22,72.93,7.289999999999992,9.9959,1831.57,14692.854
300799.SZ,20191111,72.93,72.93,72.93,72.93,66.3,6.63000000000001,10.0,3757.75,27405.27
300799.SZ,20191108,66.3,66.3,66.3,66.3,60.27,6.029999999999994,10.005,3306.52,21922.227
300799.SZ,20191107,60.27,60.27,60.27,60.27,54.79,5.480000000000004,10.0018,1020.22,6148.865
300799.SZ,20191106,54.79,54.79,54.79,54.79,49.81,4.979999999999997,9.998,944.52,5175.025
300799.SZ,20191105,49.81,49.81,49.81,49.81,45.28,4.530000000000001,10.0044,526.15,2620.753
300799.SZ,20191104,45.28,45.28,45.28,45.28,41.16,4.1200000000000045,10.0097,943.47,4272.032
300799.SZ,20191101,41.16,41.16,41.16,41.16,37.42,3.739999999999995,9.9947,621.0,2556.036
300799.SZ,20191031,37.42,37.42,37.42,37.42,34.02,3.3999999999999986,9.9941,226.0,845.692
300799.SZ,20191030,34.02,34.02,34.02,34.02,30.93,3.0900000000000034,9.9903,94.0,319.788
300799.SZ,20191029,25.78,30.93,25.78,30.93,21.48,9.45,43.9944,281.52,868.941
